Mes,Importado,Exportado
01-Ene-2015,596,1280
01-Feb-2015,1059,2251
01-Mar-2015,877,3806
01-Abr-2015,767,6111
01-May-2015,727,5715
01-Jun-2015,397,2451
01-Jul-2015,78,1120
01-Ago-2015,449,1596
01-Sep-2015,121,322
01-Oct-2015,410,999
01-Nov-2015,855,2354
01-Dic-2015,798,3607
