,Importado [Ton.],Exportado [Ton.]
Enero,4538,136072
Febrero,4049,132472
Marzo,4332,147303
Abril,2580,109258
Mayo,3198,64459
Junio,8289,34386
Julio,10062,32250
Agosto,53558,21798
Septiembre,45665,15386
Octubre,14664,32993
Noviembre,12207,86283
Diciembre,5369,137338
