fila,subfila,columna,subcolumna,valor
"070940 - Apio, excepto el apionabo:",,225 Sudán del Sur,IMPORT,
"070940 - Apio, excepto el apionabo:",,228 Mauritania,IMPORT,
"070940 - Apio, excepto el apionabo:",,229 Sáhara Occidental,IMPORT,
"070940 - Apio, excepto el apionabo:",,232 Mali,IMPORT,
"070940 - Apio, excepto el apionabo:",,236 Burkina Faso (ant. Alto Volta),IMPORT,
"070940 - Apio, excepto el apionabo:",,240 Níger,IMPORT,
"070940 - Apio, excepto el apionabo:",,244 Chad,IMPORT,
"070940 - Apio, excepto el apionabo:",,247 Cabo Verde,IMPORT,
"070940 - Apio, excepto el apionabo:",,248 Senegal,IMPORT,
"070940 - Apio, excepto el apionabo:",,252 Gambia,IMPORT,
"070940 - Apio, excepto el apionabo:",,257 Guinea Bissau,IMPORT,
"070940 - Apio, excepto el apionabo:",,260 Guinea,IMPORT,
"070940 - Apio, excepto el apionabo:",,264 Sierra Leona,IMPORT,
"070940 - Apio, excepto el apionabo:",,268 Liberia,IMPORT,
"070940 - Apio, excepto el apionabo:",,272 Costa de Marfil,IMPORT,
"070940 - Apio, excepto el apionabo:",,276 Ghana,IMPORT,
"070940 - Apio, excepto el apionabo:",,280 Togo,IMPORT,
"070940 - Apio, excepto el apionabo:",,284 Benin,IMPORT,
"070940 - Apio, excepto el apionabo:",,288 Nigeria,IMPORT,
"070940 - Apio, excepto el apionabo:",,302 Camerún,IMPORT,
"070940 - Apio, excepto el apionabo:",,306 República Centroafricana,IMPORT,
"070940 - Apio, excepto el apionabo:",,310 Guinea Ecuatorial,IMPORT,
"070940 - Apio, excepto el apionabo:",,311 Santo Tomé y Príncipe,IMPORT,
"070940 - Apio, excepto el apionabo:",,314 Gabón,IMPORT,
"070940 - Apio, excepto el apionabo:",,318 Congo,IMPORT,
"070940 - Apio, excepto el apionabo:",,322 Rep.Democrática Congo; (Zaire h.31/12/97),IMPORT,
"070940 - Apio, excepto el apionabo:",,324 Ruanda,IMPORT,
"070940 - Apio, excepto el apionabo:",,328 Burundi,IMPORT,
"070940 - Apio, excepto el apionabo:",,329 Santa Elena,IMPORT,
"070940 - Apio, excepto el apionabo:",,330 Angola,IMPORT,
"070940 - Apio, excepto el apionabo:",,334 Etiopía,IMPORT,
"070940 - Apio, excepto el apionabo:",,336 Eritrea,IMPORT,
"070940 - Apio, excepto el apionabo:",,338 Djibouti,IMPORT,
"070940 - Apio, excepto el apionabo:",,342 Somalia,IMPORT,
"070940 - Apio, excepto el apionabo:",,346 Kenia,IMPORT,
"070940 - Apio, excepto el apionabo:",,350 Uganda,IMPORT,
"070940 - Apio, excepto el apionabo:",,352 Tanzania,IMPORT,
"070940 - Apio, excepto el apionabo:",,355 Seychelles,IMPORT,
"070940 - Apio, excepto el apionabo:",,357 Territorio Británico Indico,IMPORT,
"070940 - Apio, excepto el apionabo:",,366 Mozambique,IMPORT,
"070940 - Apio, excepto el apionabo:",,370 Madagascar,IMPORT,
"070940 - Apio, excepto el apionabo:",,372 Reunión (h.31/12/96),IMPORT,
"070940 - Apio, excepto el apionabo:",,373 Mauricio,IMPORT,
"070940 - Apio, excepto el apionabo:",,375 Comoras,IMPORT,
"070940 - Apio, excepto el apionabo:",,377 Mayotte (h.31/12/94),IMPORT,
"070940 - Apio, excepto el apionabo:",,378 Zambia,IMPORT,
"070940 - Apio, excepto el apionabo:",,382 Zimbabwe,IMPORT,
"070940 - Apio, excepto el apionabo:",,386 Malawi,IMPORT,
"070940 - Apio, excepto el apionabo:",,388 Sudáfrica (d.01/01/90),IMPORT,
"070940 - Apio, excepto el apionabo:",,389 Namibia (d.01/01/90),IMPORT,
"070940 - Apio, excepto el apionabo:",,390 Sudáfrica (incl.Namibia)(h.31/12/89),IMPORT,
"070940 - Apio, excepto el apionabo:",,391 Botswana,IMPORT,
"070940 - Apio, excepto el apionabo:",,393 Swazilandia,IMPORT,
"070940 - Apio, excepto el apionabo:",,395 Lesotho,IMPORT,
"070940 - Apio, excepto el apionabo:",,400 Estados Unidos,IMPORT,
"070940 - Apio, excepto el apionabo:",,404 Canadá,IMPORT,
"070940 - Apio, excepto el apionabo:",,406 Groenlandia,IMPORT,
"070940 - Apio, excepto el apionabo:",,408 San Pedro y Miquelón,IMPORT,
"070940 - Apio, excepto el apionabo:",,412 México,IMPORT,
"070940 - Apio, excepto el apionabo:",,413 Bermudas,IMPORT,
"070940 - Apio, excepto el apionabo:",,416 Guatemala,IMPORT,
"070940 - Apio, excepto el apionabo:",,421 Belice,IMPORT,
"070940 - Apio, excepto el apionabo:",,424 Honduras,IMPORT,
"070940 - Apio, excepto el apionabo:",,428 El Salvador,IMPORT,
"070940 - Apio, excepto el apionabo:",,432 Nicaragua,IMPORT,
"070940 - Apio, excepto el apionabo:",,436 Costa Rica,IMPORT,
"070940 - Apio, excepto el apionabo:",,440 Panamá (h.31/12/80),IMPORT,
"070940 - Apio, excepto el apionabo:",,442 Panamá (d.01/01/81),IMPORT,
"070940 - Apio, excepto el apionabo:",,444 Canal de Panamá (h.31/12/80),IMPORT,
"070940 - Apio, excepto el apionabo:",,446 Anguilla,IMPORT,
"070940 - Apio, excepto el apionabo:",,448 Cuba,IMPORT,
"070940 - Apio, excepto el apionabo:",,449 San Cristóbal y Nieves,IMPORT,
"070940 - Apio, excepto el apionabo:",,450 Indias Occidentales (h.31/12/85),IMPORT,
"070940 - Apio, excepto el apionabo:",,451 Indias Occidentales (h.31/12/82),IMPORT,
"070940 - Apio, excepto el apionabo:",,452 Haití,IMPORT,
"070940 - Apio, excepto el apionabo:",,453 Bahamas,IMPORT,
"070940 - Apio, excepto el apionabo:",,454 Islas Turcas y Caicos,IMPORT,
"070940 - Apio, excepto el apionabo:",,455 Indias Occidentales (h.31/12/86),IMPORT,
"070940 - Apio, excepto el apionabo:",,456 República Dominicana,IMPORT,
"070940 - Apio, excepto el apionabo:",,457 Islas Virgenes (EEUU),IMPORT,
"070940 - Apio, excepto el apionabo:",,458 Guadalupe (h.31/12/96),IMPORT,
"070940 - Apio, excepto el apionabo:",,459 Antigua y Barbuda,IMPORT,
"070940 - Apio, excepto el apionabo:",,460 Dominica,IMPORT,
"070940 - Apio, excepto el apionabo:",,461 Islas Vírgenes (GB) y Montserrat (h.31/12/94),IMPORT,
"070940 - Apio, excepto el apionabo:",,462 Martinica (h.31/12/96),IMPORT,
"070940 - Apio, excepto el apionabo:",,463 Islas Caimán,IMPORT,
"070940 - Apio, excepto el apionabo:",,464 Jamaica,IMPORT,
"070940 - Apio, excepto el apionabo:",,465 Santa Lucía,IMPORT,
"070940 - Apio, excepto el apionabo:",,466 Sant Bartolomé,IMPORT,
"070940 - Apio, excepto el apionabo:",,467 San Vicente y Granadinas,IMPORT,
"070940 - Apio, excepto el apionabo:",,468 Islas Vírgenes (GB) (d.01/01/95),IMPORT,
"070940 - Apio, excepto el apionabo:",,469 Barbados,IMPORT,
"070940 - Apio, excepto el apionabo:",,470 Montserrat (d.01/01/95),IMPORT,
"070940 - Apio, excepto el apionabo:",,472 Trinidad y Tobago,IMPORT,
"070940 - Apio, excepto el apionabo:",,473 Granada,IMPORT,
"070940 - Apio, excepto el apionabo:",,474 Aruba (d.01/01/87),IMPORT,
"070940 - Apio, excepto el apionabo:",,475 Curaçao,IMPORT,
"070940 - Apio, excepto el apionabo:",,476 Antillas Neerlandesas (incl.Aruba)(h.31/12/86),IMPORT,
"070940 - Apio, excepto el apionabo:",,"477 Bonaire, San Eustaquio y Saba",IMPORT,
"070940 - Apio, excepto el apionabo:",,478 Antillas Neerlandesas (d.01/01/87),IMPORT,
"070940 - Apio, excepto el apionabo:",,479 San Martín,IMPORT,
"070940 - Apio, excepto el apionabo:",,480 Colombia,IMPORT,
"070940 - Apio, excepto el apionabo:",,484 Venezuela,IMPORT,
"070940 - Apio, excepto el apionabo:",,488 Guyana,IMPORT,
"070940 - Apio, excepto el apionabo:",,492 Surinam,IMPORT,
