Mes,Importado,Exportado
Enero,303,13710
Febrero,118,15722
Marzo,69,26679
Abril,65,17784
Mayo,59,11481
Junio,73,6505
Julio,71,4398
Agosto,106,2774
Septiembre,220,5943
Octubre,78,17065
Noviembre,46,18497
Diciembre,143,18643
