,Importado [Ton.],Exportado [Ton.]
Enero,572,1358
Febrero,1628,906
Marzo,3253,2356
Abril,8088,13363
Mayo,16534,87470
Junio,10766,156870
Julio,3311,227833
Agosto,903,115862
Septiembre,108,29601
Octubre,346,7748
Noviembre,468,1527
Diciembre,363,9693
