,Importado [Ton.],Exportado [Ton.]
Enero,17,48
Febrero,22,73
Marzo,24,129
Abril,25,378
Mayo,7,803
Junio,2,356
Julio,4,197
Agosto,53,30
Septiembre,62,26
Octubre,20,386
Noviembre,38,688
Diciembre,37,141
