,Importado [Ton.],Exportado [Ton.]
Enero,18902,7169
Febrero,16533,6232
Marzo,18778,6301
Abril,19020,5601
Mayo,22417,5490
Junio,17453,6268
Julio,18122,5490
Agosto,14623,5054
Septiembre,13278,5971
Octubre,24261,6556
Noviembre,22936,7224
Diciembre,21782,6538
