,Importado [Ton.],Exportado [Ton.]
Enero,695,93906
Febrero,626,92167
Marzo,901,105205
Abril,1105,108299
Mayo,1047,48410
Junio,983,16767
Julio,1839,13504
Agosto,2408,9150
Septiembre,2229,10206
Octubre,2845,36672
Noviembre,1360,86259
Diciembre,1322,103303
