,Importado [Ton.],Exportado [Ton.]
Enero,4122,27654
Febrero,2210,24689
Marzo,5609,22281
Abril,4885,17878
Mayo,1650,20675
Junio,677,26404
Julio,3308,53802
Agosto,3200,43579
Septiembre,3309,28111
Octubre,1281,25442
Noviembre,1579,34964
Diciembre,9641,28326
