,Importado [Ton.],Exportado [Ton.]
Enero,7405,1663
Febrero,7599,1674
Marzo,10459,3829
Abril,10333,5199
Mayo,4661,44582
Junio,744,101813
Julio,574,137686
Agosto,192,83209
Septiembre,744,37122
Octubre,6972,7569
Noviembre,10448,4672
Diciembre,12964,5681
