,Importado [Ton.],Exportado [Ton.]
Enero,765,61218
Febrero,352,61011
Marzo,413,68188
Abril,1262,70593
Mayo,597,71516
Junio,2049,68898
Julio,13836,45992
Agosto,16128,26306
Septiembre,7763,20473
Octubre,1908,38241
Noviembre,1538,46558
Diciembre,2194,59880
