,Importado [Ton.],Exportado [Ton.]
Enero,62,1040
Febrero,116,938
Marzo,5,1095
Abril,104,2293
Mayo,1068,37167
Junio,198,81914
Julio,612,102737
Agosto,919,81725
Septiembre,761,49140
Octubre,131,14106
Noviembre,461,5465
Diciembre,118,1720
