,Importado [Ton.],Exportado [Ton.]
Enero,352,362
Febrero,444,517
Marzo,908,1677
Abril,1704,4620
Mayo,1724,12538
Junio,750,5116
Julio,33,1633
Agosto,138,1724
Septiembre,41,82
Octubre,197,503
Noviembre,290,726
Diciembre,325,753
