,Importado [Ton.],Exportado [Ton.]
Enero,610,2278
Febrero,266,3837
Marzo,1329,3421
Abril,2004,2988
Mayo,2367,1956
Junio,1591,1884
Julio,443,1297
Agosto,302,2088
Septiembre,473,2268
Octubre,166,3731
Noviembre,53,3494
Diciembre,87,3723
