Mes,Importado,Exportado
Enero,1839,8028
Febrero,1379,8937
Marzo,2746,12258
Abril,3811,9360
Mayo,7484,6088
Junio,8379,6448
Julio,7782,5175
Agosto,6918,3965
Septiembre,6842,3806
Octubre,5278,4247
Noviembre,4544,5758
Diciembre,3954,7510
