,Importado [Ton.],Exportado [Ton.]
Enero,3376,6193
Febrero,4151,5991
Marzo,6899,7016
Abril,6339,5878
Mayo,4661,3652
Junio,3199,1729
Julio,2647,8770
Agosto,1371,16304
Septiembre,2072,16522
Octubre,3714,10792
Noviembre,5610,8867
Diciembre,5429,4853
