Mes,Importado,Exportado
Enero,1484,8827
Febrero,1970,23273
Marzo,2846,73800
Abril,797,101365
Mayo,524,48713
Junio,729,8519
Julio,551,2922
Agosto,476,7719
Septiembre,281,2101
Octubre,261,1417
Noviembre,451,886
Diciembre,1235,3558
