,Importado [Ton.],Exportado [Ton.]
Enero,1806,243242
Febrero,915,261528
Marzo,1401,291236
Abril,1231,263538
Mayo,2073,185770
Junio,5356,90215
Julio,15795,46941
Agosto,28265,17809
Septiembre,42831,11265
Octubre,24646,41744
Noviembre,2870,192593
Diciembre,5314,245196
