,Importado [Ton.],Exportado [Ton.]
Enero,9037,1522
Febrero,7705,1292
Marzo,11070,2336
Abril,11082,2744
Mayo,7942,2418
Junio,5401,1695
Julio,8487,1503
Agosto,3206,730
Septiembre,14121,1100
Octubre,12895,1762
Noviembre,10318,2112
Diciembre,7287,1958
