Mes,Importado,Exportado
Enero,13596,9090
Febrero,16652,8815
Marzo,18580,12508
Abril,20867,12038
Mayo,19913,11489
Junio,14264,8185
Julio,14807,6211
Agosto,8421,6818
Septiembre,12452,12971
Octubre,18575,10785
Noviembre,21572,11167
Diciembre,23594,11580
