,Importado [Ton.],Exportado [Ton.]
Enero,4,393
Febrero,6,399
Marzo,29,482
Abril,27,245
Mayo,98,152
Junio,26,63
Julio,4,34
Agosto,5,18
Septiembre,5,53
Octubre,14,188
Noviembre,6,259
Diciembre,26,512
