,Importado [Ton.],Exportado [Ton.]
Enero,199,528
Febrero,118,465
Marzo,123,756
Abril,95,828
Mayo,78,647
Junio,79,399
Julio,7,283
Agosto,14,158
Septiembre,36,198
Octubre,53,256
Noviembre,16,283
Diciembre,40,195
