Mes,Importado,Exportado
01-Ene-2015,695,93906
01-Feb-2015,626,92167
01-Mar-2015,901,105205
01-Abr-2015,1105,108299
01-May-2015,1047,48410
01-Jun-2015,983,16767
01-Jul-2015,1839,13504
01-Ago-2015,2408,9150
01-Sep-2015,2229,10206
01-Oct-2015,2845,36672
01-Nov-2015,1360,86259
01-Dic-2015,1322,103303
