Mes,Importado,Exportado
Enero,1746,58866
Febrero,1383,65602
Marzo,933,75771
Abril,1543,62893
Mayo,1377,45202
Junio,1133,21209
Julio,998,10277
Agosto,1152,4571
Septiembre,2355,5249
Octubre,1650,12586
Noviembre,1209,35583
Diciembre,1764,51737
