fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,3  Carretera,"51766964,77"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,003 Países Bajos,3  Carretera,"10974219,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,003 Países Bajos,3  Carretera,"9008401,75"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,003 Países Bajos,3  Carretera,"12660106,05"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,003 Países Bajos,3  Carretera,"9907188,64"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,003 Países Bajos,3  Carretera,"7664291,73"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,003 Países Bajos,3  Carretera,"1552757,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,Total modo transporte,"1054016,05"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,004 Alemania,Total modo transporte,"152459,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,004 Alemania,Total modo transporte,"37614,40"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,004 Alemania,Total modo transporte,"256071,05"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,004 Alemania,Total modo transporte,"360653,70"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,004 Alemania,Total modo transporte,"141360,20"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,004 Alemania,Total modo transporte,"105857,70"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,1  Marítimo,"680790,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,004 Alemania,1  Marítimo,"60010,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,004 Alemania,1  Marítimo,"220,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,004 Alemania,1  Marítimo,"235010,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,004 Alemania,1  Marítimo,"160090,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,004 Alemania,1  Marítimo,"120190,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,004 Alemania,1  Marítimo,"105270,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,3  Carretera,"373226,05"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,004 Alemania,3  Carretera,"92449,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,004 Alemania,3  Carretera,"37394,40"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,004 Alemania,3  Carretera,"21061,05"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,004 Alemania,3  Carretera,"200563,70"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,004 Alemania,3  Carretera,"21170,20"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,004 Alemania,3  Carretera,"587,70"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,005 Italia,Total modo transporte,"476378,56"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,005 Italia,Total modo transporte,"103,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,005 Italia,Total modo transporte,"3877,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,005 Italia,Total modo transporte,"352293,56"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,005 Italia,Total modo transporte,"88775,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,005 Italia,Total modo transporte,"30430,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,005 Italia,Total modo transporte,"900,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,005 Italia,3  Carretera,"476378,56"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,005 Italia,3  Carretera,"103,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,005 Italia,3  Carretera,"3877,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,005 Italia,3  Carretera,"352293,56"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,005 Italia,3  Carretera,"88775,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,005 Italia,3  Carretera,"30430,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,005 Italia,3  Carretera,"900,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,Total modo transporte,"22812122,98"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,006 Reino Unido,Total modo transporte,"7301764,10"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,006 Reino Unido,Total modo transporte,"5732508,43"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,006 Reino Unido,Total modo transporte,"5384845,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,006 Reino Unido,Total modo transporte,"3008719,35"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,006 Reino Unido,Total modo transporte,"1201695,10"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,006 Reino Unido,Total modo transporte,"182591,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,1  Marítimo,"17629654,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,006 Reino Unido,1  Marítimo,"6395529,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,006 Reino Unido,1  Marítimo,"4809116,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,006 Reino Unido,1  Marítimo,"4204955,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,006 Reino Unido,1  Marítimo,"2045304,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,006 Reino Unido,1  Marítimo,"124750,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,006 Reino Unido,1  Marítimo,"50000,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,3  Carretera,"5182465,98"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,006 Reino Unido,3  Carretera,"906232,10"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,006 Reino Unido,3  Carretera,"923392,43"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,006 Reino Unido,3  Carretera,"1179890,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,006 Reino Unido,3  Carretera,"963415,35"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,006 Reino Unido,3  Carretera,"1076945,10"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,006 Reino Unido,3  Carretera,"132591,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,4  Aire,"3,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,006 Reino Unido,4  Aire,"3,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,006 Reino Unido,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,006 Reino Unido,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,006 Reino Unido,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,006 Reino Unido,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,006 Reino Unido,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,007 Irlanda,Total modo transporte,"265,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,007 Irlanda,Total modo transporte,"265,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,007 Irlanda,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,007 Irlanda,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,007 Irlanda,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,007 Irlanda,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,007 Irlanda,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,007 Irlanda,1  Marítimo,"265,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,007 Irlanda,1  Marítimo,"265,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,007 Irlanda,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,008 Dinamarca,Total modo transporte,"3536425,41"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,008 Dinamarca,Total modo transporte,"836924,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,008 Dinamarca,Total modo transporte,"894780,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,008 Dinamarca,Total modo transporte,"820450,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,008 Dinamarca,Total modo transporte,"735968,00"
