,producto,fecha,pais,transporte,kg,tipo
172,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Portugal,Marítimo,139670.0,import
176,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Portugal,Carretera,1538622.5,import
177,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Portugal,Carretera,74020.0,import
178,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Portugal,Carretera,1006993.0,import
179,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Portugal,Carretera,850585.0,import
180,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Portugal,Carretera,1094179.0,import
181,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Portugal,Carretera,2787543.2,import
193,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Bélgica,Marítimo,900.0,import
194,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Bélgica,Marítimo,450.0,import
195,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Bélgica,Marítimo,900.0,import
197,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Bélgica,Carretera,2114831.0,import
198,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Bélgica,Carretera,1709263.0,import
199,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Bélgica,Carretera,282960.0,import
200,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Bélgica,Carretera,98537.0,import
201,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Bélgica,Carretera,465542.0,import
202,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Bélgica,Carretera,1226428.0,import
211,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Luxemburgo,Carretera,341160.0,import
212,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Luxemburgo,Carretera,292500.0,import
213,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Luxemburgo,Carretera,213440.0,import
214,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Luxemburgo,Carretera,50400.0,import
225,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Suecia,Marítimo,306000.0,import
226,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Suecia,Marítimo,334000.0,import
227,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Suecia,Marítimo,51000.0,import
233,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Suecia,Carretera,21.0,import
234,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Suecia,Carretera,42.0,import
236,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Suecia,Carretera,22.0,import
237,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Suecia,Carretera,22.0,import
246,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Marruecos,Carretera,70100.0,import
247,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Marruecos,Carretera,54243.0,import
248,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Marruecos,Carretera,53570.0,import
249,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Marruecos,Carretera,50630.0,import
250,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Marruecos,Carretera,58010.0,import
251,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Marruecos,Carretera,59308.0,import
260,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Argelia,Marítimo,24570.0,import
279,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Camerún,Carretera,71580.0,import
290,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Estados Unidos,Carretera,1935.0,import
