,producto,fecha,pais,transporte,Ton,tipo
253,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Macedonia (d.01/01/00); R.Yug.Macedonia (h.31/12/99),Carretera,20.55,import
265,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Marruecos,Marítimo,1064.87,import
266,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Marruecos,Marítimo,1113.21,import
267,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Marruecos,Marítimo,1768.8,import
268,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Marruecos,Marítimo,5335.19,import
269,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Marruecos,Marítimo,7326.4,import
271,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Marruecos,Carretera,57.2,import
272,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Marruecos,Carretera,68.77,import
273,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Marruecos,Carretera,49.51,import
274,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Marruecos,Carretera,284.32,import
275,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Marruecos,Carretera,328.38,import
287,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Egipto,Carretera,15.12,import
295,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Costa de Marfil,Carretera,158.32,import
297,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Costa de Marfil,Carretera,95.4,import
307,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Sudáfrica,Carretera,19.8,import
308,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Sudáfrica,Carretera,19.8,import
309,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Sudáfrica,Carretera,18.38,import
319,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, México,Carretera,0.01,import
320,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, México,Carretera,0.01,import
333,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Colombia,Carretera,0.07,import
334,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Colombia,Carretera,0.12,import
335,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Colombia,Carretera,0.08,import
344,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Surinam,Carretera,3.07,import
345,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Surinam,Carretera,1.34,import
355,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Ecuador,Carretera,19.8,import
367,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Nueva Zelanda,Carretera,36.18,import
368,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Nueva Zelanda,Carretera,21.84,import
13,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Francia,Carretera,483.21,import
14,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Francia,Carretera,809.44,import
19,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Países Bajos,Carretera,322.73,import
20,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Países Bajos,Carretera,67.57,import
25,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Alemania,Carretera,286.95,import
32,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Italia,Marítimo,0.6,import
34,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Italia,Carretera,13.29,import
35,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Italia,Carretera,11.74,import
40,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Reino Unido,Carretera,2.83,import
41,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Reino Unido,Carretera,0.33,import
46,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Grecia,Carretera,5.11,import
52,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Portugal,Carretera,589.26,import
53,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Portugal,Carretera,416.78,import
58,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Bélgica,Carretera,18.99,import
64,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Austria,Carretera,19.61,import
71,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Estonia,Carretera,1.2,import
77,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Lituania,Carretera,1.2,import
82,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Polonia,Carretera,217.91,import
88,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, República Checa,Carretera,32.46,import
94,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Eslovaquia,Carretera,16.69,import
100,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Hungría,Carretera,62.26,import
106,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Rumanía,Carretera,8.01,import
107,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Rumanía,Carretera,45.32,import
112,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Bulgaria,Carretera,0.38,import
118,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Eslovenia,Carretera,0.9,import
124,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Croacia,Carretera,1.53,import
130,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Marruecos,Marítimo,6251.97,import
131,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Marruecos,Marítimo,5702.66,import
133,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Marruecos,Carretera,186.83,import
134,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Marruecos,Carretera,187.0,import
139,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Egipto,Carretera,48.67,import
140,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Egipto,Carretera,74.79,import
145,0702 Tomates frescos o refrigerados,2017-01-01 00:00:00, Colombia,Carretera,0.23,import
146,0702 Tomates frescos o refrigerados,2017-02-01 00:00:00, Colombia,Carretera,0.23,import
31,0702 Tomates frescos o refrigerados,2016-12-01 00:00:00, Francia,Carretera,1034.92,import
32,0702 Tomates frescos o refrigerados,2016-11-01 00:00:00, Francia,Carretera,494.14,import
33,0702 Tomates frescos o refrigerados,2016-10-01 00:00:00, Francia,Carretera,567.62,import
34,0702 Tomates frescos o refrigerados,2016-09-01 00:00:00, Francia,Carretera,123.09,import
35,0702 Tomates frescos o refrigerados,2016-08-01 00:00:00, Francia,Carretera,178.07,import
