,producto,fecha,pais,transporte,Ton,tipo
331,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Líbano,Carretera,0.04,import
332,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Líbano,Carretera,0.1,import
335,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Líbano,Carretera,0.02,import
344,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, China,Carretera,13.09,import
358,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Nueva Zelanda,Carretera,4.62,import
370,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Países y territorios no determinados.Intraco.,Marítimo,0.05,import
13,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Francia,Carretera,962.73,import
14,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Francia,Carretera,677.39,import
19,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Países Bajos,Carretera,119.85,import
20,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Países Bajos,Carretera,281.11,import
25,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Alemania,Carretera,2.11,import
26,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Alemania,Carretera,2.12,import
32,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Italia,Marítimo,0.59,import
34,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Italia,Carretera,18.67,import
35,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Italia,Carretera,6.17,import
40,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Reino Unido,Carretera,0.41,import
41,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Reino Unido,Carretera,11.02,import
46,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Grecia,Carretera,6.3,import
47,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Grecia,Carretera,3.1,import
52,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Portugal,Carretera,173.59,import
53,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Portugal,Carretera,168.55,import
58,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Bélgica,Carretera,3.48,import
59,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Bélgica,Carretera,28.23,import
64,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Austria,Carretera,4.1,import
70,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Polonia,Carretera,21.39,import
76,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Eslovenia,Carretera,0.9,import
77,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Eslovenia,Carretera,6.76,import
82,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Marruecos,Marítimo,5519.82,import
83,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Marruecos,Marítimo,4269.88,import
85,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Marruecos,Carretera,355.6,import
86,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Marruecos,Carretera,199.4,import
91,0702 Tomates frescos o refrigerados,2016-01-01 00:00:00, Egipto,Carretera,58.5,import
98,0702 Tomates frescos o refrigerados,2016-02-01 00:00:00, Colombia,Carretera,0.12,import
