fila,subfila,columna,subcolumna,valor
0702 Tomates frescos o refrigerados,Enero de 2016,017 Bélgica (d.01/01/99),3  Carretera,"3,48"
0702 Tomates frescos o refrigerados,Febrero de 2016,017 Bélgica (d.01/01/99),3  Carretera,"28,23"
0702 Tomates frescos o refrigerados,Total seleccionado,038 Austria,Total modo transporte,"4,10"
0702 Tomates frescos o refrigerados,Enero de 2016,038 Austria,Total modo transporte,"4,10"
0702 Tomates frescos o refrigerados,Febrero de 2016,038 Austria,Total modo transporte,
0702 Tomates frescos o refrigerados,Total seleccionado,038 Austria,3  Carretera,"4,10"
0702 Tomates frescos o refrigerados,Enero de 2016,038 Austria,3  Carretera,"4,10"
0702 Tomates frescos o refrigerados,Febrero de 2016,038 Austria,3  Carretera,
0702 Tomates frescos o refrigerados,Total seleccionado,060 Polonia,Total modo transporte,"21,39"
0702 Tomates frescos o refrigerados,Enero de 2016,060 Polonia,Total modo transporte,"21,39"
0702 Tomates frescos o refrigerados,Febrero de 2016,060 Polonia,Total modo transporte,
0702 Tomates frescos o refrigerados,Total seleccionado,060 Polonia,3  Carretera,"21,39"
0702 Tomates frescos o refrigerados,Enero de 2016,060 Polonia,3  Carretera,"21,39"
0702 Tomates frescos o refrigerados,Febrero de 2016,060 Polonia,3  Carretera,
0702 Tomates frescos o refrigerados,Total seleccionado,091 Eslovenia (d.01/01/92),Total modo transporte,"7,66"
0702 Tomates frescos o refrigerados,Enero de 2016,091 Eslovenia (d.01/01/92),Total modo transporte,"0,90"
0702 Tomates frescos o refrigerados,Febrero de 2016,091 Eslovenia (d.01/01/92),Total modo transporte,"6,76"
0702 Tomates frescos o refrigerados,Total seleccionado,091 Eslovenia (d.01/01/92),3  Carretera,"7,66"
0702 Tomates frescos o refrigerados,Enero de 2016,091 Eslovenia (d.01/01/92),3  Carretera,"0,90"
0702 Tomates frescos o refrigerados,Febrero de 2016,091 Eslovenia (d.01/01/92),3  Carretera,"6,76"
0702 Tomates frescos o refrigerados,Total seleccionado,204 Marruecos,Total modo transporte,"10344,70"
0702 Tomates frescos o refrigerados,Enero de 2016,204 Marruecos,Total modo transporte,"5875,42"
0702 Tomates frescos o refrigerados,Febrero de 2016,204 Marruecos,Total modo transporte,"4469,28"
0702 Tomates frescos o refrigerados,Total seleccionado,204 Marruecos,1  Marítimo,"9789,70"
0702 Tomates frescos o refrigerados,Enero de 2016,204 Marruecos,1  Marítimo,"5519,82"
0702 Tomates frescos o refrigerados,Febrero de 2016,204 Marruecos,1  Marítimo,"4269,88"
0702 Tomates frescos o refrigerados,Total seleccionado,204 Marruecos,3  Carretera,"555,00"
0702 Tomates frescos o refrigerados,Enero de 2016,204 Marruecos,3  Carretera,"355,60"
0702 Tomates frescos o refrigerados,Febrero de 2016,204 Marruecos,3  Carretera,"199,40"
0702 Tomates frescos o refrigerados,Total seleccionado,220 Egipto,Total modo transporte,"58,50"
0702 Tomates frescos o refrigerados,Enero de 2016,220 Egipto,Total modo transporte,"58,50"
0702 Tomates frescos o refrigerados,Febrero de 2016,220 Egipto,Total modo transporte,
0702 Tomates frescos o refrigerados,Total seleccionado,220 Egipto,3  Carretera,"58,50"
0702 Tomates frescos o refrigerados,Enero de 2016,220 Egipto,3  Carretera,"58,50"
0702 Tomates frescos o refrigerados,Febrero de 2016,220 Egipto,3  Carretera,
0702 Tomates frescos o refrigerados,Total seleccionado,480 Colombia,Total modo transporte,"0,12"
0702 Tomates frescos o refrigerados,Enero de 2016,480 Colombia,Total modo transporte,
0702 Tomates frescos o refrigerados,Febrero de 2016,480 Colombia,Total modo transporte,"0,12"
0702 Tomates frescos o refrigerados,Total seleccionado,480 Colombia,3  Carretera,"0,12"
0702 Tomates frescos o refrigerados,Enero de 2016,480 Colombia,3  Carretera,
0702 Tomates frescos o refrigerados,Febrero de 2016,480 Colombia,3  Carretera,"0,12"
