fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,1  Marítimo,"257805,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,003 Países Bajos,1  Marítimo,"66250,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,003 Países Bajos,1  Marítimo,"95250,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,003 Países Bajos,1  Marítimo,"96305,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,003 Países Bajos,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,003 Países Bajos,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,003 Países Bajos,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,3  Carretera,"23256634,15"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,003 Países Bajos,3  Carretera,"13179397,26"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,003 Países Bajos,3  Carretera,"6254215,97"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,003 Países Bajos,3  Carretera,"1177944,11"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,003 Países Bajos,3  Carretera,"344394,94"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,003 Países Bajos,3  Carretera,"375050,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,003 Países Bajos,3  Carretera,"1925631,87"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,Total modo transporte,"1705764,92"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,004 Alemania,Total modo transporte,"959488,95"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,004 Alemania,Total modo transporte,"70824,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,004 Alemania,Total modo transporte,"153291,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,004 Alemania,Total modo transporte,"300132,95"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,004 Alemania,Total modo transporte,"152771,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,004 Alemania,Total modo transporte,"69256,52"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,1  Marítimo,"373045,18"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,004 Alemania,1  Marítimo,"12295,18"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,004 Alemania,1  Marítimo,"300,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,004 Alemania,1  Marítimo,"130010,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,004 Alemania,1  Marítimo,"230170,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,004 Alemania,1  Marítimo,"160,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,004 Alemania,1  Marítimo,"110,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,3  Carretera,"1332719,74"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,004 Alemania,3  Carretera,"947193,77"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,004 Alemania,3  Carretera,"70524,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,004 Alemania,3  Carretera,"23281,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,004 Alemania,3  Carretera,"69962,95"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,004 Alemania,3  Carretera,"152611,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,004 Alemania,3  Carretera,"69146,52"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,005 Italia,Total modo transporte,"44167,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,005 Italia,Total modo transporte,"1056,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,005 Italia,Total modo transporte,"3756,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,005 Italia,Total modo transporte,"288,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,005 Italia,Total modo transporte,"640,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,005 Italia,Total modo transporte,"36317,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,005 Italia,Total modo transporte,"2110,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,005 Italia,3  Carretera,"44167,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,005 Italia,3  Carretera,"1056,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,005 Italia,3  Carretera,"3756,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,005 Italia,3  Carretera,"288,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,005 Italia,3  Carretera,"640,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,005 Italia,3  Carretera,"36317,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,005 Italia,3  Carretera,"2110,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,Total modo transporte,"40119894,33"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,006 Reino Unido,Total modo transporte,"9772025,41"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,006 Reino Unido,Total modo transporte,"12712107,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,006 Reino Unido,Total modo transporte,"10799756,53"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,006 Reino Unido,Total modo transporte,"5944029,10"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,006 Reino Unido,Total modo transporte,"615278,76"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,006 Reino Unido,Total modo transporte,"276697,53"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,1  Marítimo,"36630316,43"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,006 Reino Unido,1  Marítimo,"8655465,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,006 Reino Unido,1  Marítimo,"11425861,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,006 Reino Unido,1  Marítimo,"10004916,43"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,006 Reino Unido,1  Marítimo,"5839681,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,006 Reino Unido,1  Marítimo,"578743,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2015,006 Reino Unido,1  Marítimo,"125650,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,3  Carretera,"3489577,90"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2015,006 Reino Unido,3  Carretera,"1116560,41"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2015,006 Reino Unido,3  Carretera,"1286246,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2015,006 Reino Unido,3  Carretera,"794840,10"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2015,006 Reino Unido,3  Carretera,"104348,10"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2015,006 Reino Unido,3  Carretera,"36535,76"
