,Importado [Ton.],Exportado [Ton.]
Enero,196,34
Febrero,14,10
Marzo,61,7
Abril,1,40
Mayo,15,4797
Junio,62,13628
Julio,330,5697
Agosto,217,591
Septiembre,52,1309
Octubre,106,32
Noviembre,63,127
Diciembre,493,99
