fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,Total modo transporte,"2437133,86"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,001 Francia,Total modo transporte,"661131,32"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,001 Francia,Total modo transporte,"660264,04"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,001 Francia,Total modo transporte,"1115738,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,3  Carretera,"2422278,46"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,001 Francia,3  Carretera,"649898,92"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,001 Francia,3  Carretera,"659392,04"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,001 Francia,3  Carretera,"1112987,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,5  Tráfico postal,"9125,80"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,001 Francia,5  Tráfico postal,"7883,80"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,001 Francia,5  Tráfico postal,"872,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,001 Francia,5  Tráfico postal,"370,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,7  Plataforma fija,"5729,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,001 Francia,7  Plataforma fija,"3348,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,001 Francia,7  Plataforma fija,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,001 Francia,7  Plataforma fija,"2381,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,Total modo transporte,"358407,04"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,003 Países Bajos,Total modo transporte,"84120,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,003 Países Bajos,Total modo transporte,"31005,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,003 Países Bajos,Total modo transporte,"243282,04"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,3  Carretera,"358407,04"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,003 Países Bajos,3  Carretera,"84120,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,003 Países Bajos,3  Carretera,"31005,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,003 Países Bajos,3  Carretera,"243282,04"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,Total modo transporte,"168710,80"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,004 Alemania,Total modo transporte,"37338,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,004 Alemania,Total modo transporte,"31591,20"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,004 Alemania,Total modo transporte,"99781,10"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,3  Carretera,"168710,80"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,004 Alemania,3  Carretera,"37338,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,004 Alemania,3  Carretera,"31591,20"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,004 Alemania,3  Carretera,"99781,10"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,005 Italia,Total modo transporte,"3495305,17"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,005 Italia,Total modo transporte,"651950,15"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,005 Italia,Total modo transporte,"1359751,74"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,005 Italia,Total modo transporte,"1483603,28"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,005 Italia,3  Carretera,"3489483,17"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,005 Italia,3  Carretera,"648730,25"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,005 Italia,3  Carretera,"1357452,14"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,005 Italia,3  Carretera,"1483300,78"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,005 Italia,5  Tráfico postal,"5822,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,005 Italia,5  Tráfico postal,"3219,90"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,005 Italia,5  Tráfico postal,"2299,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,005 Italia,5  Tráfico postal,"302,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,Total modo transporte,"556474,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,006 Reino Unido,Total modo transporte,"206523,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,006 Reino Unido,Total modo transporte,"116213,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,006 Reino Unido,Total modo transporte,"233738,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,1  Marítimo,"306659,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,006 Reino Unido,1  Marítimo,"100000,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,006 Reino Unido,1  Marítimo,"88500,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,006 Reino Unido,1  Marítimo,"118159,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,006 Reino Unido,3  Carretera,"249815,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,006 Reino Unido,3  Carretera,"106523,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,006 Reino Unido,3  Carretera,"27713,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,006 Reino Unido,3  Carretera,"115579,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,007 Irlanda,Total modo transporte,"29217,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,007 Irlanda,Total modo transporte,"8474,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,007 Irlanda,Total modo transporte,"9642,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,007 Irlanda,Total modo transporte,"11101,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,007 Irlanda,3  Carretera,"29217,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,007 Irlanda,3  Carretera,"8474,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,007 Irlanda,3  Carretera,"9642,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,007 Irlanda,3  Carretera,"11101,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,008 Dinamarca,Total modo transporte,"27500,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,008 Dinamarca,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,008 Dinamarca,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,008 Dinamarca,Total modo transporte,"27500,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,008 Dinamarca,1  Marítimo,"27500,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,008 Dinamarca,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,008 Dinamarca,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,008 Dinamarca,1  Marítimo,"27500,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,010 Portugal (d.01/01/86),Total modo transporte,"25664439,08"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,010 Portugal (d.01/01/86),Total modo transporte,"10067670,87"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,010 Portugal (d.01/01/86),Total modo transporte,"9849433,61"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,010 Portugal (d.01/01/86),Total modo transporte,"5747334,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,010 Portugal (d.01/01/86),3  Carretera,"25664439,08"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,010 Portugal (d.01/01/86),3  Carretera,"10067670,87"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,010 Portugal (d.01/01/86),3  Carretera,"9849433,61"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,010 Portugal (d.01/01/86),3  Carretera,"5747334,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,017 Bélgica (d.01/01/99),Total modo transporte,"687575,27"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,017 Bélgica (d.01/01/99),Total modo transporte,"408529,27"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,017 Bélgica (d.01/01/99),Total modo transporte,"278666,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,017 Bélgica (d.01/01/99),Total modo transporte,"380,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,017 Bélgica (d.01/01/99),3  Carretera,"687575,27"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,017 Bélgica (d.01/01/99),3  Carretera,"408529,27"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,017 Bélgica (d.01/01/99),3  Carretera,"278666,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,017 Bélgica (d.01/01/99),3  Carretera,"380,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,030 Suecia,Total modo transporte,"120,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,030 Suecia,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,030 Suecia,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,030 Suecia,Total modo transporte,"120,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,030 Suecia,3  Carretera,"120,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,030 Suecia,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,030 Suecia,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,030 Suecia,3  Carretera,"120,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,032 Finlandia,Total modo transporte,"900,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,032 Finlandia,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,032 Finlandia,Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,032 Finlandia,Total modo transporte,"900,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,032 Finlandia,3  Carretera,"900,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,032 Finlandia,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,032 Finlandia,3  Carretera,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,032 Finlandia,3  Carretera,"900,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,038 Austria,Total modo transporte,"14288,20"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,038 Austria,Total modo transporte,"3748,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,038 Austria,Total modo transporte,"5149,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,038 Austria,Total modo transporte,"5390,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,038 Austria,3  Carretera,"14288,20"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,038 Austria,3  Carretera,"3748,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,038 Austria,3  Carretera,"5149,60"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,038 Austria,3  Carretera,"5390,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,039 Suiza (d.01/01/95),Total modo transporte,"77249,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2017,039 Suiza (d.01/01/95),Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2017,039 Suiza (d.01/01/95),Total modo transporte,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2017,039 Suiza (d.01/01/95),Total modo transporte,"77249,00"
