Mes,Importado,Exportado
01-Ene-2015,11,1789
01-Feb-2015,10,1867
01-Mar-2015,12,3153
01-Abr-2015,38,2873
01-May-2015,9,902
01-Jun-2015,7,396
01-Jul-2015,5,184
01-Ago-2015,4,57
01-Sep-2015,14,344
01-Oct-2015,5,175
01-Nov-2015,5,490
01-Dic-2015,16,2248
