Mes,Importado,Exportado
01-Ene-2015,142.49,188.05
01-Feb-2015,151.72,222.23
01-Mar-2015,148.66,257.69
01-Abr-2015,141.43,226.4
01-May-2015,159.02,194.53
01-Jun-2015,132.54,178.97
01-Jul-2015,162.79,294.38
01-Ago-2015,142.02,201.64
01-Sep-2015,137.71,251.78
01-Oct-2015,94.73,234.31
01-Nov-2015,128.67,174.28
01-Dic-2015,118.14,235.11
