Tiempo;Peso, Tm;Peso, Tm
2015;369,698.83;6,445.34
Enero;52,719.48;818.45
Febrero;54,648.03;201.19
Marzo;58,349.07;148.09
Abril;47,438.30;470.42
Mayo;39,206.88;355.56
Junio;18,091.90;457.16
Julio;4,763.05;561.08
Agosto;3,754.55;691.08
Septiembre;3,803.33;1,332.53
Octubre;12,173.53;597.50
Noviembre;30,872.47;362.05
Diciembre;43,878.25;450.23
