Mes,Importado,Exportado
01-Ene-2015,63,304
01-Feb-2015,76,245
01-Mar-2015,53,870
01-Abr-2015,372,1379
01-May-2015,3757,3638
01-Jun-2015,582,4429
01-Jul-2015,251,10629
01-Ago-2015,1,822
01-Sep-2015,0,223
01-Oct-2015,18,1377
01-Nov-2015,141,1869
01-Dic-2015,680,547
