Mes,Importado,Exportado
01-Ene-2015,199,528
01-Feb-2015,118,465
01-Mar-2015,123,756
01-Abr-2015,95,828
01-May-2015,78,647
01-Jun-2015,79,399
01-Jul-2015,7,283
01-Ago-2015,14,158
01-Sep-2015,36,198
01-Oct-2015,53,256
01-Nov-2015,16,283
01-Dic-2015,40,195
