Mes,Importado,Exportado
01-Ene-2015,1484,8827
01-Feb-2015,1970,23273
01-Mar-2015,2846,73800
01-Abr-2015,797,101365
01-May-2015,524,48713
01-Jun-2015,729,8519
01-Jul-2015,551,2922
01-Ago-2015,476,7719
01-Sep-2015,281,2101
01-Oct-2015,261,1417
01-Nov-2015,451,886
01-Dic-2015,1235,3558
