Tiempo;Peso, Tm;Peso, Tm
2015;2,063.58;6,016.80
Enero;83.36;413.09
Febrero;59.52;253.27
Marzo;118.94;298.14
Abril;153.55;549.62
Mayo;138.18;433.77
Junio;141.55;623.22
Julio;231.23;865.81
Agosto;312.12;738.42
Septiembre;224.30;529.78
Octubre;204.65;376.42
Noviembre;143.08;313.26
Diciembre;253.08;622.01
