Acelgas	kg	3,13	2,04	1,17	2,05	-0,16	2,04	1,97	3,80
Ajos	kg	7,67	5,45	3,60	5,46	-0,08	5,45	5,45	-0,02
Alcachofas	kg	3,24	2,69	2,21	2,62	2,49	2,69	2,60	3,59
Berenjenas	kg	2,31	1,56	1,02	1,56	-0,13	1,56	1,55	0,32
Calabacines	kg	2,32	1,40	0,84	1,39	1,26	1,40	1,38	1,90
Cebollas	kg	1,95	1,13	0,55	1,12	0,30	1,13	1,12	0,97
Champiñones	kg	5,20	3,66	2,51	3,67	-0,09	3,66	3,69	-0,81
Coles de Bruselas	kg	3,21	2,73	2,34	2,73	0,00	2,73	2,74	-0,40
Coliflor	kg	2,42	1,85	1,31	1,84	0,77	1,85	1,90	-2,44
Endibias	bandeja 4	2,25	1,61	0,99	1,60	0,12	1,61	1,62	-0,63
Escarola	unidad	2,02	1,64	1,28	1,65	-0,56	1,64	1,64	-0,40
Espárragos blancos	manojo	6,38	5,61	4,86	5,55	1,14	5,61	5,53	1,50
Espárragos verdes	manojo	4,26	2,86	1,84	2,87	-0,33	2,86	2,83	1,05
Espinacas	kg	4,20	2,90	1,79	2,89	0,17	2,90	2,93	-1,08
Guisantes verdes	kg	6,69	5,92	5,30	5,97	-0,87	5,92	5,63	5,16
Judías verdes	kg	5,98	3,66	2,07	3,67	-0,32	3,66	3,80	-3,66
Lechugas	unidad	1,53	0,94	0,54	0,94	0,30	0,94	0,94	-0,06
Lombardas	Kg.	1,69	1,32	1,03	1,32	0,23	1,32	1,32	0,18
Pepinos	kg	2,49	1,46	0,80	1,47	-0,56	1,46	1,47	-0,51
Pimientos rojos	kg	3,28	2,44	1,69	2,44	-0,25	2,44	2,46	-0,85
Pimientos verdes	kg	3,08	2,04	1,19	2,07	-1,31	2,04	2,12	-3,85
Puerros	manojo	2,51	1,64	0,92	1,64	0,07	1,64	1,68	-2,18
Repollo	kg	1,77	1,19	0,88	1,19	0,13	1,19	1,19	-0,25
Tomate para ensalada	kg	4,00	1,98	1,08	1,96	0,89	1,98	1,94	2,14
Tomates para freir	kg	1,89	1,28	0,85	1,27	0,81	1,28	1,25	2,44
Zanahorias	kg	1,81	1,02	0,54	1,02	0,03	1,02	1,01	1,48
