Acelgas	kg	2,76	1,76	1,16	1,79	-1,44	1,76	1,79	-1,64
Ajos	kg	7,24	5,25	3,69	5,25	-0,07	5,25	5,26	-0,29
Alcachofas	kg	3,13	2,37	1,79			2,37		
Berenjenas	kg	2,20	1,53	1,07	1,52	0,60	1,53	1,56	-1,81
Calabacines	kg	2,36	1,38	0,80	1,38	-0,03	1,38	1,42	-3,23
Cebollas	kg	1,58	1,03	0,56	1,03	0,03	1,03	1,03	0,44
Champiñones	kg	5,02	3,61	2,70	3,62	-0,35	3,61	3,63	-0,63
Coles de Bruselas	kg	3,34	2,69	2,21	2,75	-2,48	2,69	3,01	-10,91
Coliflor	kg	1,92	1,50	1,07	1,48	1,26	1,50	1,48	1,61
Endibias	bandeja 4	2,37	1,69	1,18	1,69	0,39	1,69	1,69	0,36
Escarola	unidad	1,89	1,58	1,28	1,58	0,14	1,58	1,59	-0,33
Espárragos blancos	manojo	5,37	4,86	4,49	4,86	-0,03	4,86	4,93	-1,31
Espárragos verdes	manojo	3,85	2,59	1,56	2,59	0,01	2,59	2,50	3,58
Espinacas	kg	3,92	2,78	1,90	2,75	0,95	2,78	2,72	2,04
Guisantes verdes	kg	5,83	4,67	3,91	4,57	2,28	4,67	4,55	2,71
Judías verdes	kg	6,57	3,52	2,01	3,64	-3,46	3,52	3,70	-5,01
Lechugas	unidad	1,29	0,89	0,63	0,89	0,72	0,89	0,89	-0,03
Lombardas	Kg.	1,63	1,27	0,95	1,26	0,53	1,27	1,27	-0,07
Pepinos	kg	2,09	1,37	0,89	1,40	-1,91	1,37	1,47	-6,86
Pimientos rojos	kg	3,17	2,43	1,83	2,48	-1,96	2,43	2,56	-5,03
Pimientos verdes	kg	3,04	2,06	1,27	2,13	-3,78	2,06	2,23	-7,77
Puerros	manojo	2,50	1,71	1,08	1,71	0,18	1,71	1,70	0,60
Repollo	kg	1,59	1,21	0,86	1,21	0,20	1,21	1,21	0,23
Tomate para ensalada	kg	3,68	1,90	1,06	1,92	-1,35	1,90	1,95	-2,85
Tomates para freir	kg	1,70	1,19	0,84	1,18	0,95	1,19	1,21	-1,60
Zanahorias	kg	1,52	1,01	0,60	1,02	-0,34	1,01	1,02	-0,97
