Acelgas	kg	3,31	2,12	1,26	2,11	0,70	2,12	2,02	4,81
Ajos	kg	8,08	5,63	3,46	5,64	-0,10	5,64	5,65	-0,17
Alcachofas	kg	7,66	3,61	2,25	3,72	-2,87	3,67	3,12	17,57
Berenjenas	kg	4,92	3,59	2,06	3,74	-4,05	3,67	2,86	28,09
Calabacines	kg	4,84	3,35	1,81	3,88	-15,89	3,62	2,86	26,58
Cebollas	kg	1,91	1,10	0,55	1,10	-0,33	1,10	1,11	-0,87
Champiñones	kg	5,13	3,64	2,28	3,63	0,26	3,64	3,65	-0,33
Coles de Bruselas	kg	4,08	3,41	2,83	3,38	0,84	3,39	3,11	9,11
Coliflor	kg	2,63	1,90	1,17	1,92	-0,73	1,91	1,75	8,91
Endibias	bandeja 4	2,22	1,60	1,03	1,60	0,37	1,60	1,59	0,28
Escarola	unidad	2,16	1,70	1,26	1,69	1,02	1,70	1,65	2,91
Espárragos blancos	manojo	7,28	6,40	5,71	6,39	0,13	6,40	6,17	3,62
Espárragos verdes	manojo	5,29	3,50	2,27	3,47	0,75	3,48	3,25	7,11
Espinacas	kg	4,46	2,94	1,80	2,97	-0,94	2,95	2,91	1,59
Guisantes verdes	kg	8,30	6,34	4,78	6,09	3,90	6,22	5,92	5,08
Judías verdes	kg	7,59	4,46	2,69	4,47	-0,09	4,47	4,01	11,43
Lechugas	unidad	1,66	1,06	0,65	1,04	1,65	1,05	0,96	9,06
Lombardas	Kg.	1,74	1,37	1,02	1,36	0,85	1,36	1,33	2,23
Pepinos	kg	2,90	2,04	1,37	1,99	2,20	2,01	1,78	13,27
Pimientos rojos	kg	3,96	2,78	1,87	2,71	2,24	2,74	2,41	13,68
Pimientos verdes	kg	3,66	2,48	1,68	2,46	0,72	2,47	2,28	8,20
Puerros	manojo	3,13	1,86	0,97	1,87	-0,35	1,87	1,75	6,80
Repollo	kg	1,78	1,29	0,89	1,29	-0,09	1,29	1,21	6,34
Tomate para ensalada	kg	4,58	2,40	1,35	2,38	0,82	2,39	2,15	10,85
Tomates para freir	kg	2,25	1,55	0,98	1,51	3,06	1,53	1,38	10,62
Zanahorias	kg	1,77	1,03	0,50	1,03	-0,03	1,03	1,01	2,25
