Acelgas	kg	3,19	2,04	1,07	2,05	-0,03	2,04	2,04	0,17
Ajos	kg	8,18	5,44	2,89	5,43	0,15	5,45	5,54	-1,58
Alcachofas	kg	4,39	2,97	2,00	2,99	-0,58	2,85		
Berenjenas	kg	2,69	1,73	1,12	1,73	0,10	1,71	1,63	5,02
Calabacines	kg	2,49	1,38	0,87	1,40	-1,03	1,41	1,41	-0,58
Cebollas	kg	1,70	1,06	0,54	1,07	-0,62	1,07	1,09	-1,56
Champiñones	kg	5,51	3,68	2,27	3,68	0,11	3,65	3,60	1,45
Coles de Bruselas	kg	5,09	4,32	3,73	4,32	-0,01	4,32	4,23	2,23
Coliflor	kg	2,42	1,69	1,07	1,69	-0,10	1,66	1,49	11,43
Endibias	bandeja 4	2,12	1,57	1,02	1,57	-0,07	1,56	1,58	-1,23
Escarola	unidad	1,91	1,61	1,31	1,61	0,06	1,61	1,64	-1,64
Espárragos blancos	manojo	6,34	5,71	5,26	5,36	6,06	5,48	5,46	0,33
Espárragos verdes	manojo	4,31	2,89	1,87	2,81	3,03	2,72	2,39	13,77
Espinacas	kg	4,55	2,99	1,88	3,00	-0,47	2,97	2,94	1,30
Guisantes verdes	kg	7,01	6,09	5,14	6,11	-0,42	6,11	5,60	8,98
Judías verdes	kg	7,01	4,06	2,31	3,97	2,29	3,92	3,82	2,77
Lechugas	unidad	1,40	0,92	0,57	0,91	1,22	0,91	0,91	0,84
Lombardas	Kg.	1,70	1,32	0,99	1,32	0,06	1,32	1,32	-0,31
Pepinos	kg	2,23	1,43	0,85	1,45	-1,14	1,44	1,54	-6,14
Pimientos rojos	kg	3,17	2,38	1,72	2,27	4,46	2,32	2,34	-0,63
Pimientos verdes	kg	3,29	2,19	1,46	2,20	-0,55	2,20	2,15	2,00
Puerros	manojo	2,96	1,71	0,92	1,71	-0,32	1,72	1,76	-2,06
Repollo	kg	2,05	1,23	0,82	1,23	0,13	1,24	1,24	-0,03
Tomate para ensalada	kg	4,02	2,01	1,07	1,98	1,40	1,99	2,00	-0,32
Tomates para freir	kg	1,93	1,27	0,89	1,26	0,83	1,26	1,28	-1,50
Zanahorias	kg	1,73	0,99	0,51	0,99	-0,83	0,99	0,99	0,23
