Acelgas	kg	3,12	2,05	1,10	2,04	0,10	2,04	2,04	0,12
Ajos	kg	8,18	5,43	2,91	5,45	-0,36	5,45	5,54	-1,49
Alcachofas	kg	4,22	2,99	2,15	2,79	6,67	2,80		
Berenjenas	kg	2,68	1,73	1,13	1,70	1,24	1,71	1,63	4,70
Calabacines	kg	2,48	1,40	0,88	1,42	-1,91	1,41	1,41	0,00
Cebollas	kg	1,73	1,07	0,56	1,07	-0,50	1,07	1,09	-1,32
Champiñones	kg	5,55	3,68	2,27	3,63	1,32	3,64	3,60	1,13
Coles de Bruselas	kg	5,09	4,32	3,73	4,32	-0,03	4,32	4,23	2,24
Coliflor	kg	2,42	1,69	1,09	1,67	1,23	1,65	1,49	10,77
Endibias	bandeja 4	2,12	1,57	1,02	1,55	0,83	1,56	1,58	-1,24
Escarola	unidad	1,91	1,61	1,30	1,61	0,02	1,61	1,64	-1,64
Espárragos blancos	manojo	6,03	5,36	4,80	5,36	-0,04	5,36	5,46	-1,78
Espárragos verdes	manojo	4,14	2,81	1,86	2,58	7,94	2,66	2,39	11,38
Espinacas	kg	4,47	3,00	1,92	2,99	0,47	2,97	2,94	1,15
Guisantes verdes	kg	6,93	6,11	5,26	6,02	1,61	6,11	5,60	9,08
Judías verdes	kg	6,97	3,97	2,27	3,92	1,21	3,88	3,82	1,53
Lechugas	unidad	1,39	0,91	0,55	0,91	0,20	0,91	0,91	0,51
Lombardas	Kg.	1,70	1,32	0,98	1,32	0,22	1,32	1,32	-0,38
Pepinos	kg	2,23	1,45	0,86	1,43	1,40	1,44	1,54	-5,92
Pimientos rojos	kg	3,08	2,27	1,64	2,33	-2,67	2,31	2,34	-1,36
Pimientos verdes	kg	3,35	2,20	1,50	2,21	-0,22	2,20	2,15	2,10
Puerros	manojo	2,97	1,71	0,91	1,74	-1,58	1,73	1,76	-1,70
Repollo	kg	2,05	1,23	0,83	1,24	-0,60	1,24	1,24	0,09
Tomate para ensalada	kg	4,01	1,98	1,07	1,99	-0,22	1,99	2,00	-0,62
Tomates para freir	kg	1,92	1,26	0,89	1,26	0,32	1,26	1,28	-1,75
Zanahorias	kg	1,74	0,99	0,52	0,98	1,25	0,99	0,99	0,30
