Acelgas	kg	3,05	1,94	1,18	1,91	1,29	1,94	1,93	0,31
Ajos	kg	7,09	5,23	3,79	5,25	-0,27	5,23	5,19	0,81
Alcachofas	kg	3,85	2,90	2,04	2,92	-0,97	2,90	2,81	3,11
Berenjenas	kg	2,73	2,01	1,42	2,14	-6,21	2,01	2,03	-0,92
Calabacines	kg	2,37	1,58	0,90	1,57	0,20	1,58	1,47	7,56
Cebollas	kg	1,54	1,06	0,59	1,05	0,11	1,06	1,05	0,49
Champiñones	kg	4,58	3,54	2,62	3,59	-1,36	3,54	3,57	-0,98
Coles de Bruselas	kg	3,04	2,65	2,36	2,67	-0,56	2,65	2,67	-0,55
Coliflor	kg	2,63	2,05	1,41	2,00	2,50	2,05	1,96	4,63
Endibias	bandeja 4	2,39	1,66	1,10	1,64	0,90	1,66	1,64	1,24
Escarola	unidad	2,00	1,66	1,31	1,66	0,43	1,66	1,64	1,24
Espárragos blancos	manojo	5,41	4,88	4,44	4,90	-0,33	4,88	4,84	1,02
Espárragos verdes	manojo	4,23	2,81	1,83	2,79	0,65	2,81	2,78	0,98
Espinacas	kg	3,83	2,78	1,86	2,72	1,95	2,78	2,77	0,41
Guisantes verdes	kg	5,01	4,45	4,01	4,45	0,00	4,45	4,47	-0,61
Judías verdes	kg	7,26	3,98	2,37	3,99	-0,28	3,98	4,00	-0,60
Lechugas	unidad	1,38	0,96	0,62	0,96	0,36	0,96	0,94	1,84
Lombardas	Kg.	1,70	1,32	0,99	1,30	1,22	1,32	1,28	2,94
Pepinos	kg	2,12	1,51	1,02	1,53	-1,50	1,51	1,52	-1,24
Pimientos rojos	kg	3,41	2,60	1,87	2,60	-0,16	2,60	2,44	6,52
Pimientos verdes	kg	3,00	2,20	1,49	2,19	0,51	2,20	2,07	6,20
Puerros	manojo	2,53	1,78	1,07	1,74	2,55	1,78	1,73	2,75
Repollo	kg	1,86	1,36	0,96	1,37	-0,75	1,36	1,31	3,60
Tomate para ensalada	kg	3,99	2,42	1,53	2,37	2,27	2,42	2,16	11,84
Tomates para freir	kg	2,14	1,45	0,91	1,38	4,96	1,45	1,30	11,92
Zanahorias	kg	1,61	1,05	0,57	1,04	1,66	1,05	1,02	3,30
