Acelgas	kg	2,86	1,83	1,09	1,83	0,19	1,84	1,85	-0,63
Ajos	kg	7,42	5,32	3,77	5,28	0,60	5,30	5,26	0,73
Alcachofas	kg	2,97	2,28	1,62	2,27	0,18	2,32	2,45	-5,12
Berenjenas	kg	2,44	1,73	1,20	1,76	-1,98	1,74	1,82	-4,34
Calabacines	kg	2,31	1,61	0,96	1,66	-3,41	1,67	1,73	-3,64
Cebollas	kg	1,64	1,07	0,56	1,07	-0,05	1,08	1,06	1,84
Champiñones	kg	4,74	3,62	2,65	3,60	0,54	3,61	3,61	-0,16
Coles de Bruselas	kg	3,58	3,04	2,56	3,07	-0,88	3,06	2,96	3,31
Coliflor	kg	2,02	1,53	1,08	1,50	2,13	1,53	1,55	-1,36
Endibias	bandeja 4	2,29	1,62	1,05	1,62	-0,07	1,65	1,67	-0,81
Escarola	unidad	1,98	1,64	1,27	1,63	0,04	1,64	1,68	-2,09
Espárragos blancos	manojo	6,07	5,62	5,30	5,62	0,00	5,62	5,19	8,37
Espárragos verdes	manojo	4,64	3,17	2,24	3,18	-0,35	3,17	3,12	1,63
Espinacas	kg	4,07	2,81	1,79	2,84	-0,87	2,86	2,85	0,58
Guisantes verdes	kg	6,02	4,77	3,77	4,73	0,94	4,79	5,30	-9,66
Judías verdes	kg	6,65	4,02	2,31	4,04	-0,53	4,09	3,98	2,52
Lechugas	unidad	1,37	0,92	0,63	0,93	-0,64	0,93	0,94	-1,46
Lombardas	Kg.	1,73	1,31	1,00	1,33	-1,31	1,32	1,30	1,84
Pepinos	kg	2,24	1,65	1,12	1,62	1,86	1,61	1,51	6,64
Pimientos rojos	kg	3,01	2,33	1,62	2,22	4,66	2,23	2,11	5,56
Pimientos verdes	kg	2,81	2,07	1,52	2,05	0,69	2,05	1,99	2,79
Puerros	manojo	2,53	1,77	0,97	1,78	-0,46	1,79	1,81	-0,96
Repollo	kg	1,64	1,21	0,88	1,21	-0,67	1,23	1,26	-2,23
Tomate para ensalada	kg	3,99	2,06	1,10	2,04	0,56	2,06	2,10	-1,90
Tomates para freir	kg	1,97	1,29	0,84	1,29	0,01	1,28	1,31	-1,78
Zanahorias	kg	1,54	1,02	0,58	1,02	-0,38	1,03	1,03	0,15
