Acelgas	kg	4,16	1,89	1,00	1,90	-0,42	1,89	1,87	1,34
Ajos	kg	7,61	5,31	3,33	5,31	-0,01	5,31	5,36	-1,03
Alcachofas	kg	4,11	2,72	1,80	2,88	-6,11	2,83	2,70	4,82
Berenjenas	kg	3,05	2,16	1,57	2,21	-2,12	2,27	1,93	17,40
Calabacines	kg	4,21	3,06	1,81	3,08	-0,45	2,98	2,16	38,08
Cebollas	kg	1,55	1,00	0,59	0,99	0,59	0,99	0,99	0,50
Champiñones	kg	5,46	3,73	2,59	3,69	0,94	3,70	3,72	-0,39
Coles de Bruselas	kg	3,59	2,97	2,55	2,91	2,07	2,92	2,93	-0,56
Coliflor	kg	2,35	1,67	1,11	1,69	-1,24	1,69	1,67	1,52
Endibias	bandeja 4	2,36	1,69	1,18	1,70	-0,58	1,69	1,67	1,02
Escarola	unidad	1,86	1,58	1,27	1,59	-0,73	1,58	1,63	-2,91
Espárragos blancos	manojo	5,10	4,84	4,59	4,87	-0,61	4,82	4,69	2,70
Espárragos verdes	manojo	4,12	3,01	2,18	3,02	-0,28	3,00	2,86	4,86
Espinacas	kg	3,73	2,58	1,73	2,59	-0,21	2,58	2,51	2,87
Guisantes verdes	kg	6,71	5,13	3,99	5,32	-3,65	5,39	6,03	-10,57
Judías verdes	kg	7,94	4,15	2,59	4,14	0,10	4,06	3,82	6,42
Lechugas	unidad	1,35	0,91	0,56	0,92	-1,73	0,92	0,94	-2,18
Lombardas	Kg.	1,68	1,29	0,96	1,31	-1,67	1,33	1,33	-0,19
Pepinos	kg	2,44	1,72	1,13	1,67	3,37	1,65	1,57	5,06
Pimientos rojos	kg	2,72	2,05	1,60	2,06	-0,44	2,08	2,00	3,64
Pimientos verdes	kg	3,32	2,33	1,63	2,31	0,85	2,28	2,00	13,80
Puerros	manojo	2,42	1,65	0,93	1,66	-0,26	1,66	1,65	0,18
Repollo	kg	1,72	1,23	0,86	1,23	0,08	1,24	1,24	0,31
Tomate para ensalada	kg	3,70	1,95	1,06	2,01	-3,07	2,01	1,97	1,76
Tomates para freir	kg	1,83	1,27	0,90	1,28	-0,55	1,29	1,26	2,29
Zanahorias	kg	1,57	1,02	0,62	1,01	0,38	1,02	1,01	0,50
