Aguacates	kg	6,71	5,15	4,04	5,12	0,63	5,14	4,99	3,12
Albaricoques	kg	3,24	2,64	2,08	2,70	-2,08	2,66		
Bananas	kg	1,54	1,26	1,00	1,22	2,82	1,24	1,27	-2,07
Cerezas comunes	kg	5,79	5,50	5,25	4,95	9,92	5,09	4,41	15,54
Chirimoyas	kg	4,17	3,12	2,19	3,25	-4,18	3,60	4,28	-15,97
Ciruelas claudias	kg	4,17	2,89	1,96	2,91	-0,78	2,89	3,11	-7,20
Ciruelas comunes	kg	3,46	1,99	1,24	1,94	2,43	1,96	2,04	-3,96
Fresón	kg	7,89	5,56	3,84	5,32	4,34	5,37	5,19	3,62
Higos	kg	5,57	4,40	3,45	4,41	-0,19	4,38	4,59	-4,45
Kiwis	kg	5,76	3,87	2,22	3,86	0,30	3,82	3,64	5,07
Limones	kg	3,20	2,27	1,53	2,32	-2,21	2,31	2,26	2,05
Mandarinas Clementinas	kg	3,17	2,48	1,80	2,67	-7,79	2,63	2,43	8,24
Mandarinas comunes	kg	3,10	2,24	1,64	2,58	-14,91	2,59	3,00	-13,70
Manzanas comunes	kg	3,16	1,96	1,26	1,90	2,96	1,92	1,90	1,33
Manzanas Golden	kg	2,83	1,78	0,92	1,79	-0,37	1,79	1,78	0,12
Manzanas roja	kg	2,97	2,00	1,17	2,01	-0,21	2,01	2,07	-2,84
Melocotones comunes	kg	2,63	1,64	1,13	1,58	3,68	1,61	1,76	-8,37
Melocotones de carne blanda	kg	2,67	1,71	1,18	1,70	0,58	1,72	1,80	-4,65
Melocotones de carne dura	kg	4,31	2,49	1,44	2,39	3,84	2,38	2,32	2,72
Melones comunes	kg	2,57	1,40	0,59	1,37	1,96	1,35	1,27	6,42
Naranjas tipo Navel	kg	2,94	1,89	1,03	1,89	0,22	1,86	1,68	10,39
Nectarinas	kg	2,65	1,67	1,11	1,64	1,85	1,65	1,73	-4,48
Paraguayas	kg	2,53	1,66	1,15	1,69	-1,89	1,67	1,79	-7,04
Peras agua o blanquilla	kg	2,79	1,95	1,36	2,01	-3,17	2,02	2,01	0,44
Peras comunes	kg	2,46	1,68	1,15	1,71	-1,39	1,71	1,86	-8,32
Peras conferencia	kg	2,86	1,93	1,18	1,97	-1,95	1,99	2,03	-2,37
Peras Ercolina	kg	3,59	2,32	1,53	2,28	1,86	2,30	2,42	-5,18
Peras Limonera	kg	3,01	1,83	1,37	1,82	0,59	1,84	1,91	-4,16
Piñas	kg	3,42	1,92	1,20	1,94	-1,20	1,94	1,91	1,50
Platanos de Canarias	kg	2,87	2,01	1,21	1,98	1,36	2,00	2,02	-0,97
Pomelos	kg	2,87	2,17	1,69	2,17	0,30	2,17	2,17	0,04
Sandías	kg	1,55	0,82	0,44	0,80	2,21	0,80	0,78	2,05
Uvas comunes	kg	4,09	2,58	1,46	2,61	-1,23	2,65	3,21	-17,53
Uvas Moscatel	kg	3,83	3,03	2,29	3,19	-5,33	3,24	3,46	-6,28
