Acelgas	kg	3,29	2,06	1,09	2,03	1,63	2,05	2,04	0,38
Ajos	kg	8,13	5,51	2,95	5,53	-0,36	5,55	5,62	-1,11
Berenjenas	kg	2,68	1,59	1,07	1,61	-1,40	1,61	1,68	-3,94
Calabacines	kg	2,59	1,38	0,81	1,42	-2,75	1,42	1,44	-1,68
Cebollas	kg	1,82	1,07	0,58	1,14	-5,77	1,09	1,07	2,18
Champiñones	kg	4,92	3,59	2,29	3,58	0,29	3,60	3,61	-0,34
Coles de Bruselas	kg	5,09	4,16	3,46	4,36	-4,70	4,26	4,13	3,33
Coliflor	kg	2,05	1,47	0,99	1,48	-0,43	1,49	1,61	-7,49
Endibias	bandeja 4	2,16	1,58	1,03	1,59	-0,97	1,59	1,60	-0,50
Escarola	unidad	1,94	1,64	1,36	1,64	-0,37	1,65	1,68	-1,79
Espárragos blancos	manojo	6,37	5,51	4,67	5,29	3,97	5,40	5,70	-5,14
Espárragos verdes	manojo	3,67	2,35	1,44	2,35	0,19	2,34	2,46	-4,87
Espinacas	kg	4,62	2,96	1,84	2,95	0,34	2,96	2,88	2,54
Guisantes verdes	kg	7,72	5,69	4,29	5,29	7,01	5,37	5,28	1,68
Judías verdes	kg	7,32	3,82	2,21	3,87	-1,13	3,86	3,93	-1,97
Lechugas	unidad	1,36	0,90	0,54	0,90	0,51	0,90	0,91	-1,08
Lombardas	Kg.	1,71	1,34	0,98	1,32	1,00	1,33	1,33	-0,30
Pepinos	kg	2,36	1,53	0,99	1,54	-0,41	1,54	1,67	-7,54
Pimientos rojos	kg	3,15	2,33	1,75	2,37	-1,67	2,36	2,51	-5,95
Pimientos verdes	kg	3,28	2,13	1,41	2,14	-0,64	2,14	2,32	-7,45
Puerros	manojo	2,96	1,75	0,94	1,77	-0,75	1,76	1,77	-0,14
Repollo	kg	2,02	1,23	0,78	1,24	-0,66	1,24	1,26	-2,03
Tomate para ensalada	kg	4,03	1,99	1,16	1,97	1,09	2,00	2,17	-7,98
Tomates para freir	kg	1,96	1,27	0,87	1,29	-1,99	1,29	1,40	-8,24
Zanahorias	kg	1,72	0,97	0,51	0,98	-0,63	0,98	1,01	-2,23
