Acelgas	kg	2,78	1,77	1,17	1,76	0,63	1,77	1,76	0,13
Ajos	kg	7,24	5,22	3,62	5,22	-0,02	5,22	5,26	-0,66
Alcachofas	kg	2,94	2,14	1,43	2,11	1,57	2,11	2,18	-3,32
Berenjenas	kg	2,40	1,62	1,14	1,62	0,00	1,62	1,73	-6,18
Calabacines	kg	2,58	1,64	0,95	1,74	-6,48	1,73	2,19	-20,97
Cebollas	kg	1,58	1,02	0,54	1,03	-0,70	1,03	1,02	0,84
Champiñones	kg	5,08	3,62	2,66	3,61	0,33	3,61	3,62	-0,24
Coles de Bruselas	kg	3,58	3,09	2,70	3,04	1,62	3,08	3,00	2,56
Coliflor	kg	2,05	1,51	1,04	1,55	-2,24	1,55	1,63	-4,89
Endibias	bandeja 4	2,35	1,68	1,15	1,66	1,15	1,67	1,69	-1,28
Escarola	unidad	1,95	1,62	1,29	1,62	0,20	1,61	1,60	0,53
Espárragos blancos	manojo	5,63	4,98	4,47	4,90	1,69	4,92	4,96	-0,75
Espárragos verdes	manojo	3,64	2,46	1,54	2,50	-1,57	2,50	2,75	-9,03
Espinacas	kg	3,88	2,67	1,80	2,67	0,08	2,67	2,66	0,31
Guisantes verdes	kg	6,65	4,96	3,81	4,91	0,90	4,91	4,77	2,89
Judías verdes	kg	7,41	3,79	2,05	3,87	-1,89	3,86	4,16	-7,10
Lechugas	unidad	1,37	0,90	0,59	0,89	1,13	0,90	0,91	-0,98
Lombardas	Kg.	1,58	1,25	0,92	1,25	-0,35	1,25	1,26	-0,41
Pepinos	kg	2,38	1,62	1,04	1,64	-1,48	1,66	1,79	-7,53
Pimientos rojos	kg	3,52	2,82	1,99	2,78	1,45	2,79	2,48	12,44
Pimientos verdes	kg	3,51	2,48	1,69	2,49	-0,21	2,48	2,39	3,84
Puerros	manojo	2,50	1,66	0,90	1,68	-0,76	1,67	1,67	0,18
Repollo	kg	1,59	1,18	0,85	1,20	-1,07	1,19	1,20	-0,40
Tomate para ensalada	kg	4,01	2,02	1,08	2,03	-0,56	2,03	2,04	-0,43
Tomates para freir	kg	1,83	1,24	0,86	1,26	-2,41	1,26	1,28	-1,85
Zanahorias	kg	1,54	1,04	0,66	1,03	0,68	1,03	1,04	-0,76
