Acelgas	kg	2,86	1,86	1,18	1,84	0,97	1,86	1,85	0,37
Ajos	kg	7,40	5,40	3,89	5,40	-0,01	5,40	5,38	0,40
Alcachofas	kg	3,40	2,45	1,65	2,49	-1,50	2,45	2,45	0,22
Berenjenas	kg	2,42	1,76	1,20	1,75	0,20	1,76	1,73	1,86
Calabacines	kg	2,21	1,54	0,98	1,54	0,29	1,54	1,57	-1,82
Cebollas	kg	1,80	1,12	0,57	1,11	1,09	1,12	1,10	2,52
Champiñones	kg	4,75	3,61	2,62	3,61	-0,12	3,61	3,62	-0,35
Coles de Bruselas	kg	3,72	3,16	2,69	2,99	5,26	3,16	3,02	4,56
Coliflor	kg	2,63	1,86	1,19	1,88	-1,38	1,86	1,72	7,79
Endibias	bandeja 4	2,36	1,65	1,07	1,64	0,18	1,65	1,64	0,72
Escarola	unidad	2,01	1,64	1,30	1,65	-0,45	1,64	1,65	-0,39
Espárragos blancos	manojo	6,24	5,90	5,58	5,90	0,00	5,90	5,78	2,12
Espárragos verdes	manojo	4,46	2,99	2,11	3,14	-5,12	2,99	3,11	-4,07
Espinacas	kg	4,01	2,85	1,94	2,83	0,72	2,85	2,82	0,96
Guisantes verdes	kg	6,39	4,91	3,94	4,86	0,92	4,91	4,80	2,17
Judías verdes	kg	7,72	4,29	2,18	4,28	0,34	4,29	4,24	1,18
Lechugas	unidad	1,40	0,94	0,60	0,94	-0,41	0,94	0,93	1,04
Lombardas	Kg.	1,72	1,33	1,01	1,34	-0,63	1,33	1,31	1,91
Pepinos	kg	2,42	1,66	1,06	1,69	-2,05	1,66	1,68	-1,50
Pimientos rojos	kg	3,33	2,62	1,84	2,63	-0,45	2,62	2,56	2,22
Pimientos verdes	kg	3,25	2,39	1,72	2,36	1,59	2,39	2,24	6,89
Puerros	manojo	2,55	1,83	1,11	1,82	0,20	1,83	1,82	0,38
Repollo	kg	1,57	1,21	0,91	1,22	-0,23	1,21	1,22	-0,38
Tomate para ensalada	kg	4,43	2,20	1,17	2,19	0,21	2,20	2,15	2,12
Tomates para freir	kg	2,07	1,36	0,89	1,36	0,03	1,36	1,32	2,78
Zanahorias	kg	1,61	1,03	0,57	1,03	0,06	1,03	1,02	0,67
