Aguacates	kg	6,67	5,17	3,99	5,22	-0,88	5,20	5,14	1,04
Bananas	kg	1,56	1,25	0,96	1,17	6,66	1,22	1,24	-1,72
Chirimoyas	kg	3,63	2,64	1,88	2,83	-7,08	2,79	3,60	-22,56
Ciruelas claudias	kg	3,23	2,63	2,21	2,74	-4,36	2,69	2,89	-6,74
Ciruelas comunes	kg	3,18	2,06	1,43	1,94	5,51	1,98	1,96	1,48
Fresón	kg	8,80	6,31	4,48	5,92	6,25	5,98	5,37	11,23
Higos	kg	5,75	4,68	3,88	4,43	5,23	4,53	4,38	3,31
Kiwis	kg	5,95	3,89	2,21	3,87	0,69	3,88	3,82	1,50
Limones	kg	2,91	2,17	1,50	2,22	-2,28	2,20	2,31	-4,60
Mandarinas Clementinas	kg	3,10	2,24	1,43	2,40	-7,47	2,34	2,63	-11,01
Mandarinas comunes	kg	2,64	1,95	1,34	2,15	-10,28	2,11	2,59	-18,60
Manzanas comunes	kg	3,07	1,95	1,27	1,95	-0,42	1,95	1,92	1,38
Manzanas Golden	kg	2,78	1,75	0,88	1,78	-1,60	1,76	1,79	-1,51
Manzanas roja	kg	2,96	1,96	1,15	1,96	-0,17	1,97	2,01	-1,89
Melocotones comunes	kg	2,59	1,89	1,27	1,80	4,73	1,80	1,61	11,58
Melocotones de carne blanda	kg	2,47	1,95	1,50	1,63	16,28	1,73	1,72	0,56
Melocotones de carne dura	kg	4,28	2,73	1,69	2,62	4,32	2,63	2,38	10,49
Melones comunes	kg	2,55	1,47	0,65	1,40	4,54	1,42	1,35	5,52
Naranjas tipo Navel	kg	2,95	1,89	0,99	1,90	-0,65	1,90	1,86	2,00
Nectarinas	kg	2,43	1,78	1,37	1,75	2,06	1,76	1,65	6,55
Paraguayas	kg	2,08	1,66	1,44	1,65	0,81	1,68	1,67	0,57
Peras agua o blanquilla	kg	2,75	1,93	1,40	1,94	-0,51	1,93	2,02	-4,33
Peras comunes	kg	2,44	1,65	1,12	1,65	-0,05	1,66	1,71	-2,86
Peras conferencia	kg	2,82	1,88	1,06	1,93	-2,64	1,91	1,99	-3,69
Peras Ercolina	kg	3,54	2,39	1,65	2,32	2,72	2,35	2,30	2,28
Peras Limonera	kg	2,75	1,80	1,41	1,86	-3,34	1,84	1,84	0,16
Piñas	kg	3,27	1,81	1,07	1,80	0,22	1,82	1,94	-6,03
Platanos de Canarias	kg	2,93	2,09	1,27	2,05	1,72	2,06	2,00	2,93
Pomelos	kg	2,88	2,16	1,65	2,16	-0,43	2,16	2,17	-0,41
Sandías	kg	1,34	0,83	0,50	0,77	7,26	0,79	0,80	-1,14
Uvas comunes	kg	4,40	2,71	1,57	2,64	2,66	2,64	2,65	-0,17
Uvas Moscatel	kg	3,77	3,07	2,38	2,99	2,80	3,07	3,24	-5,37
