Acelgas	kg	3,26	2,02	1,20	2,03	-0,08	2,02	2,03	-0,51
Ajos	kg	7,82	5,55	3,58	5,54	0,05	5,55	5,52	0,56
Alcachofas	kg	4,49	2,99	2,03	2,97	0,91	2,99	2,99	0,16
Berenjenas	kg	2,50	1,67	1,07	1,71	-2,46	1,67	1,73	-3,66
Calabacines	kg	2,41	1,48	0,86	1,48	-0,35	1,48	1,40	5,66
Cebollas	kg	1,95	1,12	0,56	1,13	-0,46	1,12	1,13	-0,54
Champiñones	kg	5,01	3,64	2,56	3,65	-0,15	3,64	3,69	-1,10
Coles de Bruselas	kg	3,25	2,88	2,58	3,05	-5,99	2,88	3,05	-5,77
Coliflor	kg	2,54	1,83	1,21	1,87	-2,27	1,83	1,89	-3,09
Endibias	bandeja 4	2,24	1,60	1,02	1,60	0,01	1,60	1,60	0,35
Escarola	unidad	2,01	1,64	1,26	1,64	0,06	1,64	1,64	-0,08
Espárragos blancos	manojo	6,31	5,78	5,36	5,87	-1,68	5,78	5,82	-0,72
Espárragos verdes	manojo	4,60	3,04	2,00	3,03	0,35	3,04	2,97	2,27
Espinacas	kg	4,23	2,84	1,75	2,88	-1,20	2,84	2,89	-1,72
Guisantes verdes	kg	7,57	6,03	4,67	5,85	2,99	6,03	5,91	2,03
Judías verdes	kg	7,01	3,75	2,21	3,81	-1,52	3,75	3,89	-3,53
Lechugas	unidad	1,59	0,94	0,55	0,95	-0,81	0,94	0,95	-0,77
Lombardas	Kg.	1,69	1,34	0,97	1,33	1,08	1,34	1,33	1,05
Pepinos	kg	2,43	1,51	0,84	1,51	-0,60	1,51	1,52	-0,79
Pimientos rojos	kg	3,05	2,29	1,65	2,35	-2,63	2,29	2,34	-1,98
Pimientos verdes	kg	3,05	1,98	1,26	2,00	-1,28	1,98	1,98	-0,32
Puerros	manojo	2,73	1,67	0,94	1,67	0,31	1,67	1,66	1,04
Repollo	kg	1,77	1,19	0,85	1,21	-1,34	1,19	1,21	-1,06
Tomate para ensalada	kg	4,04	2,03	1,10	2,03	0,05	2,03	2,01	1,24
Tomates para freir	kg	1,90	1,32	0,87	1,33	-0,52	1,32	1,31	0,75
Zanahorias	kg	1,80	1,03	0,53	1,01	1,62	1,03	1,02	1,35
