Acelgas	kg	3,20	2,04	1,08	2,05	-0,17	2,04	2,05	-0,43
Ajos	kg	8,07	5,28	2,87	5,29	-0,04	5,29	5,36	-1,41
Alcachofas	kg	4,62	3,39	2,44	3,46	-2,10	3,43	3,27	5,00
Berenjenas	kg	3,00	1,99	1,26	1,94	2,77	1,96	1,75	12,21
Calabacines	kg	2,51	1,51	0,98	1,45	3,60	1,48	1,37	7,89
Cebollas	kg	1,72	1,06	0,54	1,06	0,05	1,06	1,06	-0,08
Champiñones	kg	5,49	3,72	2,31	3,70	0,44	3,71	3,69	0,56
Coles de Bruselas	kg	4,96	4,26	3,77	4,14	2,76	4,20	4,32	-2,64
Coliflor	kg	2,32	1,70	1,23	1,66	2,63	1,68	1,67	0,68
Endibias	bandeja 4	2,10	1,55	1,03	1,54	0,11	1,54	1,56	-1,03
Escarola	unidad	1,89	1,59	1,30	1,60	-0,51	1,59	1,61	-0,93
Espárragos blancos	manojo	6,72	5,93	5,28	5,82	1,93	5,87	5,70	3,02
Espárragos verdes	manojo	4,29	2,89	1,94	2,91	-0,72	2,90	2,97	-2,14
Espinacas	kg	4,43	3,01	1,93	3,00	0,58	3,00	2,99	0,42
Guisantes verdes	kg	6,71	6,05	5,30	6,14	-1,47	6,09	5,89	3,52
Judías verdes	kg	7,06	4,31	2,43	4,22	1,97	4,27	4,00	6,74
Lechugas	unidad	1,36	0,92	0,55	0,94	-2,06	0,93	0,93	-0,43
Lombardas	Kg.	1,67	1,31	0,98	1,34	-1,83	1,33	1,34	-1,12
Pepinos	kg	2,24	1,52	0,90	1,47	2,72	1,50	1,42	4,99
Pimientos rojos	kg	3,14	2,41	1,82	2,41	-0,13	2,41	2,45	-1,42
Pimientos verdes	kg	3,24	2,09	1,48	2,10	-0,15	2,09	2,14	-2,18
Puerros	manojo	2,90	1,74	0,89	1,73	0,26	1,74	1,71	1,27
Repollo	kg	2,11	1,25	0,80	1,27	-1,10	1,26	1,25	0,66
Tomate para ensalada	kg	3,90	2,00	1,07	1,96	2,13	1,98	2,00	-1,33
Tomates para freir	kg	2,00	1,28	0,85	1,28	0,41	1,28	1,26	1,41
Zanahorias	kg	1,67	0,98	0,51	0,97	0,31	0,98	0,98	-0,57
