Acelgas	kg	2,88	1,86	1,20	1,86	0,03	1,86	1,83	1,92
Ajos	kg	7,41	5,36	3,79	5,35	0,19	5,35	5,32	0,73
Alcachofas	kg	2,97	2,42	1,86	2,39	1,23	2,41	2,32	3,91
Berenjenas	kg	2,40	1,72	1,22	1,72	-0,36	1,72	1,74	-0,94
Calabacines	kg	2,26	1,57	0,94	1,58	-0,81	1,58	1,65	-4,42
Cebollas	kg	1,66	1,08	0,55	1,07	0,32	1,08	1,08	0,01
Champiñones	kg	4,74	3,63	2,75	3,63	-0,04	3,63	3,62	0,18
Coles de Bruselas	kg	3,71	3,02	2,47	3,03	-0,46	3,03	3,04	-0,51
Coliflor	kg	2,07	1,59	1,11	1,56	2,03	1,58	1,53	3,06
Endibias	bandeja 4	2,30	1,62	1,06	1,62	-0,02	1,62	1,65	-1,39
Escarola	unidad	2,03	1,65	1,24	1,62	1,76	1,63	1,64	-0,75
Espárragos blancos	manojo	6,00	5,67	5,36	5,63	0,75	5,65	5,62	0,43
Espárragos verdes	manojo	4,42	3,11	2,30	3,14	-1,13	3,13	3,17	-1,48
Espinacas	kg	4,13	2,84	1,80	2,83	0,29	2,83	2,86	-1,01
Guisantes verdes	kg	6,16	4,76	3,85	4,75	0,23	4,75	4,78	-0,48
Judías verdes	kg	7,19	4,19	2,40	4,19	0,15	4,19	4,06	3,28
Lechugas	unidad	1,35	0,91	0,63	0,92	-0,82	0,92	0,93	-0,74
Lombardas	Kg.	1,69	1,29	0,96	1,29	0,15	1,29	1,31	-1,77
Pepinos	kg	2,24	1,66	1,16	1,66	-0,35	1,66	1,62	2,35
Pimientos rojos	kg	3,18	2,49	1,79	2,47	0,77	2,48	2,28	8,86
Pimientos verdes	kg	2,94	2,18	1,61	2,13	2,30	2,15	2,07	4,08
Puerros	manojo	2,67	1,84	1,11	1,81	1,34	1,82	1,78	2,26
Repollo	kg	1,63	1,22	0,88	1,21	0,77	1,22	1,22	-0,46
Tomate para ensalada	kg	3,98	2,11	1,17	2,11	0,00	2,11	2,06	2,45
Tomates para freir	kg	2,00	1,31	0,86	1,30	0,72	1,31	1,29	1,49
Zanahorias	kg	1,55	1,02	0,57	1,02	-0,08	1,02	1,02	-0,48
