Acelgas	kg	2,86	1,79	1,16	1,81	-1,02	1,79	1,77	1,41
Ajos	kg	7,28	5,25	3,69	5,27	-0,34	5,26	5,23	0,65
Berenjenas	kg	2,19	1,52	1,04	1,53	-0,52	1,56	1,62	-3,61
Calabacines	kg	2,36	1,38	0,79	1,42	-2,75	1,42	1,69	-15,85
Cebollas	kg	1,58	1,03	0,56	1,02	0,58	1,03	1,03	-0,21
Champiñones	kg	5,08	3,62	2,73	3,64	-0,41	3,63	3,61	0,55
Coles de Bruselas	kg	3,22	2,75	2,36	3,02	-9,57	3,01	3,08	-2,11
Coliflor	kg	1,93	1,48	1,03	1,45	2,60	1,48	1,55	-4,84
Endibias	bandeja 4	2,37	1,69	1,16	1,69	-0,27	1,69	1,67	0,88
Escarola	unidad	1,89	1,58	1,27	1,58	0,10	1,59	1,61	-1,55
Espárragos blancos	manojo	5,37	4,86	4,47	4,95	-1,86	4,93	4,94	-0,27
Espárragos verdes	manojo	3,89	2,59	1,57	2,52	2,82	2,50	2,49	0,43
Espinacas	kg	3,89	2,75	1,89	2,75	-0,14	2,72	2,67	1,92
Guisantes verdes	kg	5,81	4,57	3,69	4,44	2,86	4,55	4,83	-5,83
Judías verdes	kg	6,57	3,64	2,23	3,68	-1,17	3,70	3,85	-3,78
Lechugas	unidad	1,29	0,89	0,60	0,90	-1,46	0,89	0,90	-0,82
Lombardas	Kg.	1,61	1,26	0,93	1,27	-0,76	1,27	1,26	0,97
Pepinos	kg	2,10	1,40	0,91	1,44	-3,19	1,47	1,63	-10,04
Pimientos rojos	kg	3,23	2,48	1,80	2,53	-1,87	2,56	2,79	-8,04
Pimientos verdes	kg	3,09	2,13	1,33	2,20	-3,26	2,23	2,46	-9,41
Puerros	manojo	2,52	1,71	1,08	1,70	0,76	1,70	1,67	1,65
Repollo	kg	1,56	1,21	0,87	1,21	0,05	1,21	1,19	1,35
Tomate para ensalada	kg	3,74	1,92	1,07	1,95	-1,65	1,95	2,02	-3,37
Tomates para freir	kg	1,72	1,18	0,80	1,21	-2,31	1,21	1,25	-3,29
Zanahorias	kg	1,51	1,02	0,61	1,02	-0,30	1,02	1,04	-1,07
