Acelgas	kg	2,89	1,81	1,16	1,80	0,56	1,79	1,77	1,48
Ajos	kg	7,27	5,27	3,70	5,27	0,01	5,26	5,23	0,72
Berenjenas	kg	2,20	1,53	1,06	1,58	-3,55	1,57	1,62	-2,84
Calabacines	kg	2,40	1,42	0,81	1,43	-1,26	1,44	1,69	-14,95
Cebollas	kg	1,58	1,02	0,55	1,02	0,16	1,02	1,03	-0,35
Champiñones	kg	5,08	3,64	2,71	3,63	0,26	3,63	3,61	0,64
Coles de Bruselas	kg	3,44	3,02	2,66	3,15	-4,43	3,10	3,08	0,72
Coliflor	kg	1,90	1,45	0,97	1,48	-2,46	1,48	1,55	-4,95
Endibias	bandeja 4	2,37	1,69	1,18	1,69	0,19	1,69	1,67	0,89
Escarola	unidad	1,88	1,58	1,27	1,60	-1,07	1,59	1,61	-1,40
Espárragos blancos	manojo	5,52	4,95	4,47	4,94	0,32	4,95	4,94	0,15
Espárragos verdes	manojo	3,79	2,52	1,54	2,46	2,53	2,47	2,49	-0,77
Espinacas	kg	3,88	2,75	1,91	2,70	1,85	2,71	2,67	1,55
Guisantes verdes	kg	5,79	4,44	3,48	4,54	-2,33	4,55	4,83	-5,94
Judías verdes	kg	6,75	3,68	2,27	3,70	-0,58	3,72	3,85	-3,23
Lechugas	unidad	1,29	0,90	0,63	0,89	1,48	0,90	0,90	-0,58
Lombardas	Kg.	1,63	1,27	0,96	1,27	-0,12	1,27	1,26	1,18
Pepinos	kg	2,14	1,44	0,97	1,50	-4,07	1,49	1,63	-8,51
Pimientos rojos	kg	3,30	2,53	1,87	2,58	-2,31	2,59	2,79	-7,07
Pimientos verdes	kg	3,17	2,20	1,41	2,27	-2,96	2,26	2,46	-8,12
Puerros	manojo	2,49	1,70	1,08	1,71	-0,85	1,70	1,67	1,51
Repollo	kg	1,55	1,21	0,90	1,22	-0,71	1,21	1,19	1,34
Tomate para ensalada	kg	3,75	1,95	1,13	1,96	-0,23	1,96	2,02	-2,87
Tomates para freir	kg	1,76	1,21	0,83	1,23	-2,02	1,22	1,25	-2,47
Zanahorias	kg	1,54	1,02	0,61	1,02	-0,06	1,03	1,04	-0,86
