Acelgas	kg	3,45	2,06	1,12	2,08	-1,00	2,09	2,12	-1,35
Ajos	kg	8,33	5,61	3,47	5,61	0,09	5,61	5,63	-0,40
Alcachofas	kg	4,29	2,41	1,37	2,60	-7,70	2,71	3,55	-23,55
Berenjenas	kg	3,16	1,87	1,23	1,89	-1,27	2,03	3,20	-36,65
Calabacines	kg	2,98	1,73	1,03	1,81	-4,44	1,90	3,08	-38,30
Cebollas	kg	1,83	1,08	0,55	1,08	0,20	1,08	1,10	-1,60
Champiñones	kg	4,94	3,60	2,24	3,59	0,27	3,60	3,63	-0,93
Coles de Bruselas	kg	5,65	4,16	3,21	4,04	2,95	3,89	3,42	13,82
Coliflor	kg	2,11	1,51	0,99	1,52	-0,73	1,58	1,84	-13,95
Endibias	bandeja 4	2,27	1,60	1,03	1,60	0,30	1,60	1,60	-0,07
Escarola	unidad	2,12	1,69	1,33	1,69	-0,17	1,70	1,69	0,47
Espárragos blancos	manojo	6,87	6,04	5,29	6,16	-1,99	6,06	6,19	-2,11
Espárragos verdes	manojo	4,49	3,04	1,94	3,07	-1,22	3,11	3,39	-8,29
Espinacas	kg	4,33	2,89	1,74	2,90	-0,45	2,90	2,93	-1,01
Guisantes verdes	kg	7,16	5,55	4,45	5,71	-2,81	5,82	6,24	-6,72
Judías verdes	kg	7,70	4,05	2,21	4,06	-0,39	4,20	4,45	-5,50
Lechugas	unidad	1,37	0,96	0,60	0,97	-1,01	0,99	1,05	-5,50
Lombardas	Kg.	1,73	1,34	0,95	1,36	-1,32	1,35	1,36	-0,32
Pepinos	kg	2,90	2,02	1,36	2,09	-3,30	2,07	2,00	3,49
Pimientos rojos	kg	3,69	2,74	2,02	2,76	-0,50	2,78	2,79	-0,24
Pimientos verdes	kg	3,63	2,50	1,66	2,45	2,12	2,46	2,44	0,91
Puerros	manojo	3,08	1,80	0,95	1,80	-0,17	1,81	1,85	-2,40
Repollo	kg	2,08	1,27	0,80	1,27	-0,11	1,26	1,28	-1,49
Tomate para ensalada	kg	4,18	2,14	1,20	2,14	0,39	2,16	2,33	-7,38
Tomates para freir	kg	2,16	1,47	0,93	1,45	0,86	1,47	1,53	-3,34
Zanahorias	kg	1,69	1,00	0,51	1,00	-0,47	1,00	1,02	-1,91
