Acelgas	kg	3,19	2,07	1,09	2,04	1,33	2,06	2,04	0,67
Ajos	kg	8,14	5,41	2,87	5,41	-0,03	5,41	5,45	-0,73
Alcachofas	kg	4,61	3,18	2,31	3,14	1,29	3,16	2,85	11,06
Berenjenas	kg	2,67	1,72	1,10	1,71	0,30	1,71	1,71	0,10
Calabacines	kg	2,47	1,37	0,78	1,36	0,45	1,37	1,41	-2,80
Cebollas	kg	1,70	1,06	0,56	1,06	-0,09	1,06	1,07	-1,01
Champiñones	kg	5,49	3,68	2,29	3,69	-0,22	3,69	3,65	1,06
Coles de Bruselas	kg	5,09	4,32	3,73	4,32	0,01	4,32	4,32	-0,02
Coliflor	kg	2,32	1,66	1,05	1,68	-0,85	1,67	1,66	0,45
Endibias	bandeja 4	2,12	1,57	1,03	1,56	0,09	1,56	1,56	0,00
Escarola	unidad	1,89	1,60	1,31	1,61	-0,59	1,60	1,61	-0,40
Espárragos blancos	manojo	6,25	5,66	5,25	5,71	-0,88	5,68	5,48	3,74
Espárragos verdes	manojo	4,51	2,97	1,82	2,91	1,85	2,94	2,72	8,09
Espinacas	kg	4,42	2,94	1,88	2,99	-1,67	2,97	2,97	-0,17
Guisantes verdes	kg	6,52	5,65	4,71	6,10	-8,05	5,88	6,11	-3,74
Judías verdes	kg	6,84	3,96	2,27	3,99	-0,76	3,98	3,92	1,44
Lechugas	unidad	1,44	0,94	0,57	0,93	0,48	0,93	0,91	2,16
Lombardas	Kg.	1,71	1,34	0,99	1,34	0,23	1,34	1,32	1,21
Pepinos	kg	2,22	1,43	0,84	1,43	-0,40	1,43	1,44	-0,77
Pimientos rojos	kg	3,22	2,42	1,81	2,42	0,06	2,42	2,32	4,20
Pimientos verdes	kg	3,29	2,17	1,48	2,17	0,22	2,17	2,20	-1,22
Puerros	manojo	2,97	1,71	0,92	1,71	0,40	1,71	1,72	-0,86
Repollo	kg	2,12	1,25	0,83	1,24	0,93	1,24	1,24	0,46
Tomate para ensalada	kg	4,04	2,01	1,10	2,01	0,02	2,01	1,99	1,03
Tomates para freir	kg	1,95	1,26	0,88	1,25	0,75	1,26	1,26	-0,20
Zanahorias	kg	1,73	0,99	0,52	0,99	0,08	0,99	0,99	-0,21
