Acelgas	kg	2,93	1,90	1,12	1,92	-0,80	1,92	1,93	-0,47
Ajos	kg	7,08	5,25	3,60	5,21	0,73	5,24	5,21	0,44
Alcachofas	kg	3,92	2,84	2,05	2,94	-3,44	2,99	3,07	-2,71
Berenjenas	kg	2,27	1,65	1,08	1,63	0,99	1,66	1,88	-11,85
Calabacines	kg	2,72	1,86	0,98	1,94	-4,23	1,87	1,57	18,79
Cebollas	kg	1,56	1,07	0,56	1,04	2,59	1,06	1,06	-0,04
Champiñones	kg	4,53	3,49	2,50	3,49	-0,12	3,51	3,51	0,04
Coles de Bruselas	kg	3,43	2,92	2,53	2,94	-0,75	2,93	2,82	3,59
Coliflor	kg	2,44	1,73	1,10	1,80	-4,28	1,82	2,04	-10,72
Endibias	bandeja 4	2,28	1,62	1,06	1,64	-1,30	1,63	1,64	-0,12
Escarola	unidad	2,02	1,67	1,32	1,67	-0,36	1,67	1,66	0,51
Espárragos blancos	manojo	5,43	4,86	4,41	4,90	-0,66	4,86	4,89	-0,55
Espárragos verdes	manojo	4,16	2,81	1,88	2,75	2,32	2,79	2,82	-0,75
Espinacas	kg	3,91	2,75	1,88	2,98	-8,52	2,82	2,76	2,30
Guisantes verdes	kg	7,36	5,74	4,68	5,88	-2,44	5,69	4,64	22,83
Judías verdes	kg	6,93	3,71	2,07	3,84	-3,53	3,85	3,90	-1,49
Lechugas	unidad	1,45	0,97	0,65	0,97	-0,45	0,97	0,96	0,73
Lombardas	Kg.	1,73	1,36	1,03	1,34	1,38	1,35	1,33	1,39
Pepinos	kg	2,04	1,49	1,00	1,51	-0,92	1,49	1,45	2,55
Pimientos rojos	kg	3,09	2,22	1,44	2,38	-7,27	2,38	2,61	-8,89
Pimientos verdes	kg	2,84	1,90	1,15	1,89	0,39	1,92	2,13	-9,77
Puerros	manojo	2,55	1,77	0,98	1,76	0,20	1,79	1,77	1,12
Repollo	kg	1,86	1,34	0,86	1,36	-1,65	1,36	1,36	-0,14
Tomate para ensalada	kg	4,12	2,17	1,05	2,24	-3,27	2,27	2,42	-6,10
Tomates para freir	kg	2,05	1,34	0,87	1,43	-6,57	1,42	1,49	-5,05
Zanahorias	kg	1,56	1,05	0,56	1,07	-1,87	1,05	1,04	1,12
