Acelgas	kg	3,13	2,05	1,17	2,04	0,14	2,04	1,97	3,87
Ajos	kg	7,66	5,44	3,57	5,45	-0,16	5,45	5,45	-0,10
Alcachofas	kg	3,24	2,71	2,24	2,69	0,94	2,70	2,60	4,08
Berenjenas	kg	2,29	1,55	1,01	1,56	-0,42	1,55	1,55	0,11
Calabacines	kg	2,23	1,40	0,84	1,40	-0,41	1,40	1,38	1,69
Cebollas	kg	1,95	1,12	0,55	1,13	-0,35	1,12	1,12	0,80
Champiñones	kg	5,20	3,66	2,51	3,66	0,06	3,66	3,69	-0,78
Coles de Bruselas	kg	3,47	3,04	2,70	2,73	10,30	2,89	2,74	5,32
Coliflor	kg	2,45	1,89	1,34	1,85	2,25	1,87	1,90	-1,31
Endibias	bandeja 4	2,25	1,61	1,03	1,61	0,10	1,61	1,62	-0,58
Escarola	unidad	2,01	1,63	1,27	1,64	-0,15	1,64	1,64	-0,48
Espárragos blancos	manojo	6,36	5,60	4,86	5,61	-0,19	5,61	5,53	1,40
Espárragos verdes	manojo	4,12	2,86	1,93	2,86	0,03	2,86	2,83	1,07
Espinacas	kg	4,10	2,85	1,82	2,90	-1,52	2,88	2,93	-1,82
Guisantes verdes	kg	6,97	6,01	5,25	5,92	1,51	5,97	5,63	5,96
Judías verdes	kg	6,10	3,72	2,13	3,66	1,57	3,69	3,80	-2,89
Lechugas	unidad	1,53	0,94	0,54	0,94	-0,60	0,94	0,94	-0,36
Lombardas	Kg.	1,67	1,30	0,98	1,32	-2,24	1,31	1,32	-0,92
Pepinos	kg	2,47	1,45	0,79	1,46	-0,37	1,46	1,47	-0,69
Pimientos rojos	kg	3,26	2,41	1,68	2,44	-0,90	2,43	2,46	-1,29
Pimientos verdes	kg	3,02	2,02	1,22	2,04	-1,16	2,03	2,12	-4,40
Puerros	manojo	2,52	1,64	0,91	1,64	-0,03	1,64	1,68	-2,19
Repollo	kg	1,77	1,19	0,88	1,19	-0,18	1,19	1,19	-0,34
Tomate para ensalada	kg	4,01	2,00	1,09	1,98	0,79	1,99	1,94	2,55
Tomates para freir	kg	1,89	1,28	0,85	1,28	0,06	1,28	1,25	2,48
Zanahorias	kg	1,81	1,01	0,52	1,02	-1,07	1,02	1,01	0,94
