Acelgas	kg	3,29	2,00	1,10	1,99	0,45	2,00	2,02	-1,01
Ajos	kg	8,06	5,64	3,59	5,64	-0,04	5,64	5,64	-0,01
Alcachofas	kg	5,06	2,83	1,81	2,78	1,74	2,80	2,82	-0,70
Berenjenas	kg	3,83	2,56	1,56	2,55	0,44	2,55	2,43	5,04
Calabacines	kg	3,94	2,48	1,30	2,29	7,79	2,39	2,12	12,74
Cebollas	kg	1,89	1,11	0,52	1,13	-1,30	1,12	1,13	-1,07
Champiñones	kg	5,17	3,63	2,48	3,65	-0,55	3,64	3,67	-0,84
Coles de Bruselas	kg	3,71	3,10	2,56	3,06	1,24	3,08	3,03	1,57
Coliflor	kg	2,33	1,68	0,98	1,69	-1,02	1,68	1,72	-2,08
Endibias	bandeja 4	2,22	1,60	1,02	1,59	0,22	1,59	1,60	-0,15
Escarola	unidad	2,04	1,64	1,22	1,64	-0,18	1,64	1,63	0,49
Espárragos blancos	manojo	6,75	5,96	5,13	5,96	0,00	5,96	5,88	1,30
Espárragos verdes	manojo	4,59	3,14	2,13	3,08	2,04	3,11	3,08	1,10
Espinacas	kg	4,36	2,90	1,74	2,91	-0,61	2,90	2,93	-0,84
Guisantes verdes	kg	7,95	6,22	5,04	6,04	2,93	6,13	6,26	-2,19
Judías verdes	kg	6,68	3,80	2,18	3,71	2,40	3,76	3,71	1,23
Lechugas	unidad	1,55	0,94	0,56	0,95	-0,11	0,94	0,94	0,20
Lombardas	Kg.	1,71	1,33	1,00	1,33	0,04	1,33	1,34	-0,17
Pepinos	kg	2,66	1,72	0,89	1,73	-0,44	1,72	1,69	1,83
Pimientos rojos	kg	3,15	2,33	1,55	2,33	-0,14	2,33	2,33	-0,01
Pimientos verdes	kg	3,15	2,20	1,46	2,18	0,89	2,19	2,13	2,84
Puerros	manojo	2,79	1,70	0,90	1,70	0,20	1,70	1,69	0,68
Repollo	kg	1,70	1,18	0,82	1,18	-0,03	1,18	1,18	0,02
Tomate para ensalada	kg	4,71	2,10	1,08	2,10	-0,21	2,10	2,07	1,31
Tomates para freir	kg	2,03	1,36	0,89	1,36	-0,08	1,36	1,35	0,88
Zanahorias	kg	1,74	1,00	0,48	1,00	-0,04	1,00	1,01	-1,32
