Acelgas	kg	3,19	2,05	1,07	2,07	-0,82	2,05	2,05	-0,13
Ajos	kg	8,00	5,30	2,89	5,30	0,04	5,30	5,30	0,13
Alcachofas	kg	4,83	3,38	2,29	3,29	2,63	3,38	3,38	0,17
Berenjenas	kg	3,33	2,18	1,38	2,25	-2,87	2,18	2,07	5,39
Calabacines	kg	3,75	2,26	1,22	2,10	6,87	2,26	1,73	30,97
Cebollas	kg	1,69	1,05	0,55	1,05	-0,49	1,05	1,06	-0,91
Champiñones	kg	5,50	3,79	2,35	3,76	0,61	3,79	3,73	1,47
Coles de Bruselas	kg	4,52	3,88	3,32	4,08	-5,17	3,88	4,16	-6,74
Coliflor	kg	2,72	1,81	1,19	1,79	1,20	1,81	1,72	4,81
Endibias	bandeja 4	2,12	1,55	1,02	1,54	0,26	1,55	1,54	0,14
Escarola	unidad	1,92	1,60	1,30	1,60	0,07	1,60	1,60	0,07
Espárragos blancos	manojo	6,74	6,08	5,51	6,03	0,87	6,08	5,95	2,21
Espárragos verdes	manojo	4,41	2,91	2,04	2,93	-0,72	2,91	2,91	-0,09
Espinacas	kg	4,63	3,09	1,95	3,07	0,63	3,09	3,04	1,71
Guisantes verdes	kg	6,95	6,17	5,30	6,17	0,00	6,17	6,10	1,08
Judías verdes	kg	6,90	4,23	2,27	4,42	-4,28	4,23	4,33	-2,29
Lechugas	unidad	1,38	0,93	0,55	0,92	1,31	0,93	0,92	0,81
Lombardas	Kg.	1,67	1,32	0,99	1,32	0,34	1,32	1,32	0,42
Pepinos	kg	2,32	1,52	0,93	1,55	-1,97	1,52	1,52	0,10
Pimientos rojos	kg	3,08	2,35	1,76	2,38	-1,30	2,35	2,39	-1,75
Pimientos verdes	kg	3,28	2,17	1,51	2,15	0,58	2,17	2,11	2,44
Puerros	manojo	2,92	1,75	0,92	1,75	0,24	1,75	1,74	0,89
Repollo	kg	2,06	1,24	0,79	1,24	0,27	1,24	1,25	-0,47
Tomate para ensalada	kg	4,01	2,14	1,17	2,09	2,28	2,14	2,02	5,81
Tomates para freir	kg	2,13	1,40	0,96	1,37	2,40	1,40	1,31	6,93
Zanahorias	kg	1,68	0,97	0,53	0,96	0,90	0,97	0,97	0,11
