Acelgas	kg	3,10	1,95	1,18	1,94	0,29	1,93	1,93	0,12
Ajos	kg	7,09	5,24	3,69	5,24	-0,08	5,21	5,19	0,45
Alcachofas	kg	4,04	3,13	2,15	3,15	-0,63	3,07	2,81	9,42
Berenjenas	kg	2,48	1,75	1,15	1,83	-4,60	1,88	2,03	-7,58
Calabacines	kg	2,52	1,66	0,94	1,57	5,56	1,57	1,47	7,22
Cebollas	kg	1,64	1,06	0,55	1,06	-0,30	1,06	1,05	0,60
Champiñones	kg	4,62	3,52	2,60	3,53	-0,35	3,51	3,57	-1,74
Coles de Bruselas	kg	3,28	2,89	2,61	2,87	0,73	2,82	2,67	5,94
Coliflor	kg	2,58	1,93	1,26	1,93	0,12	2,04	1,96	4,22
Endibias	bandeja 4	2,27	1,62	1,04	1,62	-0,05	1,64	1,64	-0,01
Escarola	unidad	2,02	1,66	1,31	1,67	-0,76	1,66	1,64	1,21
Espárragos blancos	manojo	5,45	4,91	4,50	4,90	0,04	4,89	4,84	1,13
Espárragos verdes	manojo	4,25	2,83	1,88	2,80	1,09	2,82	2,78	1,35
Espinacas	kg	3,91	2,79	1,83	2,79	-0,13	2,76	2,77	-0,23
Guisantes verdes	kg	5,57	5,02	4,57	4,89	2,55	4,64	4,47	3,64
Judías verdes	kg	7,23	3,99	2,49	3,89	2,55	3,90	4,00	-2,43
Lechugas	unidad	1,39	0,96	0,65	0,96	0,15	0,96	0,94	1,90
Lombardas	Kg.	1,72	1,33	0,99	1,33	-0,51	1,33	1,28	3,90
Pepinos	kg	1,99	1,42	0,86	1,43	-0,78	1,45	1,52	-4,60
Pimientos rojos	kg	3,42	2,58	1,76	2,60	-1,12	2,61	2,44	7,08
Pimientos verdes	kg	2,98	2,06	1,38	2,07	-0,43	2,13	2,07	2,90
Puerros	manojo	2,55	1,77	0,97	1,76	0,46	1,77	1,73	1,90
Repollo	kg	1,93	1,36	0,90	1,38	-1,26	1,36	1,31	3,69
Tomate para ensalada	kg	4,17	2,39	1,46	2,41	-0,54	2,42	2,16	11,84
Tomates para freir	kg	2,18	1,50	0,94	1,53	-1,40	1,49	1,30	14,88
Zanahorias	kg	1,57	1,04	0,56	1,05	-0,12	1,04	1,02	2,07
